linha_origem;name;endereco_original;lat_original;lng_original;lat_corrigida;lng_corrigida;cidade;uf;cep;endereco_para_dsp
24;CARBEL AV BARAO HOMEM DE MELO;30494-270 Av. Barão Homem de Melo 3400 ESTORIL MG Belo Horizonte;-199.655.921;-439.610.686;-19.965592;-43.961069;Belo Horizonte;MG;30494270;Av Barao Homem de Melo 3400 ESTORIL Belo Horizonte MG 30494270 Brazil
25;CARBEL AV. DO CONTORNO;30110-067 Avenida do Contorno 10151 Barro Preto MG Belo Horizonte;-199.195.901;-439.569.121;-19.91959;-43.956912;Belo Horizonte;MG;30110067;Avenida do Contorno 10151 Barro Preto Belo Horizonte MG 30110067 Brazil
26;CARRERA ACELERA ARARAQUARA;14801-534 Avenida Rodrigo Fernando Grillo 2699 Jardim dos Manacás SP Araraquara;-217.861.705;-482.038.324;-21.786171;-48.203832;Araraquara;SP;14801534;Avenida Rodrigo Fernando Grillo 2699 Jardim dos Manacas Araraquara SP 14801534 Brazil
27;CARRERA ACELERA AV. SUMARÉ;05016-090 Avenida Sumaré 535 Perdizes SP São Paulo;-235.333.266;-466.747.403;-23.533327;-46.67474;São Paulo;SP;05016090;Avenida Sumare 535 Perdizes Sao Paulo SP 05016090 Brazil
28;CARRERA ACELERA BUTANTÃ;05533-000 Avenida Eliseu de Almeida 715 Instituto de Previdência SP São Paulo;-235.790.712;-467.174.281;-23.579071;-46.717428;São Paulo;SP;05533000;Avenida Eliseu de Almeida 715 Instituto de Previdencia Sao Paulo SP 05533000 Brazil
29;CARRERA ACELERA CATANDUVA;15800-031 Av. Deputado Orlando Zacaner 1095 Jardim Clélia SP Catanduva;-211.488.611;-489.869.312;-21.148861;-48.986931;Catanduva;SP;15800031;Av Deputado Orlando Zacaner 1095 Jardim Clelia Catanduva SP 15800031 Brazil
30;CARRERA ACELERA COTIA;06707-000 Rodovia Raposo Tavares Granja Viana SP Cotia;-236.003.842;-469.028.354;-23.600384;-46.902835;Cotia;SP;06707000;Rodovia Raposo Tavares Granja Viana Cotia SP 06707000 Brazil
31;CARRERA ACELERA GUARATINGUETA;12505-300 Avenida Juscelino Kubitschek de Oliveira 1138 Campo do Galvão SP Guaratinguetá;-2.281.592;-4.520.229;-22.81592;-45.20229;Guaratinguetá;SP;12505300;Avenida Juscelino Kubitschek de Oliveira 1138 Campo do Galvao Guaratingueta SP 12505300 Brazil
32;CARRERA ACELERA LAPA;05037-170 Avenida Comendador Martinelli 1506 Água Branca SP São Paulo;-235.100.292;-466.899.484;-23.510029;-46.689948;São Paulo;SP;05037170;Avenida Comendador Martinelli 1506 Agua Branca Sao Paulo SP 05037170 Brazil
33;CARRERA ACELERA MORUMBI;05724-001 Av. Giovanni Gronchi 3707 VILA ANDRADE SP São Paulo;-236.126.684;-467.287.675;-23.612668;-46.728767;São Paulo;SP;05724001;Av Giovanni Gronchi 3707 VILA ANDRADE Sao Paulo SP 05724001 Brazil
34;CARRERA ACELERA PINDAMONHANGABA;12421-681 Rua Alcides Ramos Nogueira 650 Nossa Senhora do Perpétuo Socorro SP Pindamonhangaba;-229.465.315;-454.803.094;-22.946531;-45.480309;Pindamonhangaba;SP;12421681;Rua Alcides Ramos Nogueira 650 Nossa Senhora do Perpetuo Socorro Pindamonhangaba SP 12421681 Brazil
35;CARRERA ACELERA SÃO CARLOS;13564-002 Avenida Francisco Pereira Lopes 1800 Parque Arnold Schimidt SP São Carlos;-220.061.725;-479.026.094;-22.006173;-47.902609;São Carlos;SP;13564002;Avenida Francisco Pereira Lopes 1800 Parque Arnold Schimidt Sao Carlos SP 13564002 Brazil
36;CARRERA ACELERA SÃO JOSÉ DOS CAMPOS;12246-840 Avenida Deputado Benedito Matarazzo 5051 Parque Residencial Aquarius SP São José dos Campos;-232.231.746;-4.590.435.069.999.990;-23.223175;-45.904351;São José dos Campos;SP;12246840;Avenida Deputado Benedito Matarazzo 5051 Parque Residencial Aquarius Sao Jose dos Campos SP 12246840 Brazil
