linha_origem;name;endereco_original;lat_original;lng_original;lat_corrigida;lng_corrigida;cidade;uf;cep;endereco_para_dsp
102;JADE IRECÊ;44864-130 Avenida 2 de Agosto 352 Asa Norte BA Irecê;-113.022.176;-418.476.563;-11.302218;-41.847656;Irecê;BA;44864130;Avenida 2 de Agosto 352 Asa Norte Irece BA 44864130 Brazil
103;JADE ITABUNA;45600-297 Av. José Soares Pinheiro 1671 Lomanto BA Itabuna;-148.051.051;-39.291.924;-14.805105;-39.291924;Itabuna;BA;45600297;Av Jose Soares Pinheiro 1671 Lomanto Itabuna BA 45600297 Brazil
104;JADE TEIXEIRA DE FREITAS;45985-200 Av. Presidente Getúlio Vargas 603 Centro BA Teixeira de Freitas;-175.400.387;-397.449.866;-17.540039;-39.744987;Teixeira de Freitas;BA;45985200;Av Presidente Getulio Vargas 603 Centro Teixeira de Freitas BA 45985200 Brazil
105;JADE VITÓRIA DA CONQUISTA;45023-000 Av. Presidente Dutra 634 Felicia BA Vitória da Conquista;-148.748.357;-408.519.897;-14.874836;-40.85199;Vitória da Conquista;BA;45023000;Av Presidente Dutra 634 Felicia Vitoria da Conquista BA 45023000 Brazil
106;JANGADA JÚLIO VENTURA;60140-230 Av. Julio Ventura 200 ALDEOTA CE Fortaleza;-37.404.107;-385.057.274;-3.740411;-38.505727;Fortaleza;CE;60140230;Av Julio Ventura 200 ALDEOTA Fortaleza CE 60140230 Brazil
107;JANGADA WASHINGTON SOARES;60811-341 Av. Washington Soares 2055 EDSON QUEIROZ CE Fortaleza;-3.776.796.199.999.990;-384.809.677;-3.776796;-38.480968;Fortaleza;CE;60811341;Av Washington Soares 2055 EDSON QUEIROZ Fortaleza CE 60811341 Brazil
108;JAPAN PARNAIBA;64205-190 Rodovia BR - 343 - L Par 3438 João XXIII PI Parnaíba;-28.961.318;-41.702.098;-2.896132;-41.702098;Parnaíba;PI;64205190;Rodovia BR 343 L Par 3438 Joao XXIII Parnaiba PI 64205190 Brazil
109;JAPAN TERESINA;64045-000 Avenida João XXIII 3480 Noivos PI Teresina;-5.082.132;-427.664.154;-5.082132;-42.766415;Teresina;PI;64045000;Avenida Joao XXIII 3480 Noivos Teresina PI 64045000 Brazil
110;KATANA GOIANIA T1;74210-270 Avenida T 8 425 Setor Bueno GO Goiânia;-166.938.933;-492.727.765;-16.693893;-49.272776;Goiânia;GO;74210270;Avenida T 8 425 Setor Bueno Goiania GO 74210270 Brazil
111;KEIJI UBERABA;38022-290 Avenida Coronel Joaquim de Oliveira Prata 1091 Bom Retiro MG Uberaba;-197.710.282;-479.420.142;-19.771028;-47.942014;Uberaba;MG;38022290;Avenida Coronel Joaquim de Oliveira Prata 1091 Bom Retiro Uberaba MG 38022290 Brazil
112;KEIJI VEICULOS FRANCA;14403-000 Avenida Doutor Ismael Alonso Y. Alonso 185 Jardim Veneza SP Franca;-205.523.358;-474.056.612;-20.552336;-47.405661;Franca;SP;14403000;Avenida Doutor Ismael Alonso Y Alonso 185 Jardim Veneza Franca SP 14403000 Brazil
113;KEIJI VEICULOS RIBEIRÃO PRETO;14095-000 Avenida Presidente Castelo Branco 1235 Parque Industrial Lagoinha SP Ribeirão Preto;-211.954.773;-477.722.343;-21.195477;-47.772234;Ribeirão Preto;SP;14095000;Avenida Presidente Castelo Branco 1235 Parque Industrial Lagoinha Ribeirao Preto SP 14095000 Brazil
114;KEIKO BARRA MANSA;27333-236 RUA ANTONIO LUIZ PIRES 20 Barra Mansa - RJ RJ Barra Mansa;-225.598.587;-441.210.218;-22.559859;-44.121022;Barra Mansa;RJ;27333236;RUA ANTONIO LUIZ PIRES 20 Barra Mansa RJ Barra Mansa RJ 27333236 Brazil
115;KEIKO CAMPO GRANDE - RJ;23045-830 Estrada do Monteiro 540 Campo Grande RJ Rio de Janeiro;-229.194.384;-43.563.576;-22.919438;-43.563576;Rio de Janeiro;RJ;23045830;Estrada do Monteiro 540 Campo Grande Rio de Janeiro RJ 23045830 Brazil
116;KEIKO DUQUE DE CAXIAS;25085-008 Rodovia Washington Luiz 1375 Parque Duque RJ Duque de Caxias;-227.991.912;-432.906.521;-22.799191;-43.290652;Duque de Caxias;RJ;25085008;Rodovia Washington Luiz 1375 Parque Duque Duque de Caxias RJ 25085008 Brazil
117;KEIKO NOVA IGUAÇU;26210-210 Av. Governador Roberto Silveira 217 Centro RJ Nova Iguaçu;-227.559.828;-4.345.515.109.999.990;-22.755983;-43.455151;Nova Iguaçu;RJ;26210210;Av Governador Roberto Silveira 217 Centro Nova Iguacu RJ 26210210 Brazil
118;KEIKO PETRÓPOLIS;25665-135 Rua Doutor Paulo Herve 1111 Bingen RJ Petrópolis;-225.136.459;-432.216.766;-22.513646;-43.221677;Petrópolis;RJ;25665135;Rua Doutor Paulo Herve 1111 Bingen Petropolis RJ 25665135 Brazil
119;KENTO MOGI MIRIM;13800-207 Rua Padre Roque 2222 JARDIM AUREA SP Mogi Mirim;-224.451.069;-469.752.977;-22.445107;-46.975298;Mogi Mirim;SP;13800207;Rua Padre Roque 2222 JARDIM AUREA Mogi Mirim SP 13800207 Brazil
120;KENTO SÃO JOÃO DA BOA VISTA;13874-622 Avenida Treze de Maio 729 VILA LOYOLA SP São João da Boa Vista;-219.773.587;-46.772.632;-21.977359;-46.772632;São João da Boa Vista;SP;13874622;Avenida Treze de Maio 729 VILA LOYOLA Sao Joao da Boa Vista SP 13874622 Brazil
121;KOBE BH;31270122 Avenida Presidente Antônio Carlos 6280 Indaiá MG Belo Horizonte;-19.867.258;-4.395.592;-19.867258;-43.95592;Belo Horizonte;MG;31270122;Avenida Presidente Antonio Carlos 6280 Indaia Belo Horizonte MG 31270122 Brazil
122;KOBE CACHOEIRO DO ITAPEMIRIM;29313-656 Rodovia Engenheiro Fabiano Vivacqua 223 Marbrasa ES Cachoeiro de Itapemirim;-208.364.259;-41.158.111;-20.836426;-41.158111;Cachoeiro de Itapemirim;ES;29313656;Rodovia Engenheiro Fabiano Vivacqua 223 Marbrasa Cachoeiro de Itapemirim ES 29313656 Brazil
123;KOBE CONTAGEM;32210110 Avenida General David Sarnoff 4123 Cidade Industrial MG Contagem;-199.558.693;-440.171.812;-19.955869;-44.017181;Contagem;MG;32210110;Avenida General David Sarnoff 4123 Cidade Industrial Contagem MG 32210110 Brazil
124;KOBE GOV VALADARES;35010-070 Avenida Brasil 3550 CENTRO MG Governador Valadares;-188.601.904;-419.470.512;-18.86019;-41.947051;Governador Valadares;MG;35010070;Avenida Brasil 3550 CENTRO Governador Valadares MG 35010070 Brazil
125;KOBE IPATINGA;35160-291 Av. Pedro Linhares Gomes 2490 INDUSTRIAL MG Ipatinga;-194.927.494;-4.256.348.370.000.000;-19.492749;-42.563484;Ipatinga;MG;35160291;Av Pedro Linhares Gomes 2490 INDUSTRIAL Ipatinga MG 35160291 Brazil
126;KOBE LINHARES;29907-515 Avenida Prefeito Samuel Batista Cruz 5203 Nova Betania ES Linhares;-193.662.779;-400.659.071;-19.366278;-40.065907;Linhares;ES;29907515;Avenida Prefeito Samuel Batista Cruz 5203 Nova Betania Linhares ES 29907515 Brazil
127;KOBE MANHUAÇU;36900-000 Rod. BR 262 30 BOM JARDIM MG Manhuaçu;-202.727.419;-420.403.501;-20.272742;-42.04035;Manhuaçu;MG;36900000;Rod BR 262 30 BOM JARDIM Manhuacu MG 36900000 Brazil
128;KOBE VILA VELHA;29119-015 Av. Carlos Lindenberg 3400 ATAIDE ES Vila Velha;-203.513.431;-403.260.093;-20.351343;-40.326009;Vila Velha;ES;29119015;Av Carlos Lindenberg 3400 ATAIDE Vila Velha ES 29119015 Brazil
129;KOBE VILA VELHA SHOPPING;29107-900 Rua Luciano das Neves 2418 Divino Espírito Santo ES Vila Velha;-203.514.934;-402.961.271;-20.351493;-40.296127;Vila Velha;ES;29107900;Rua Luciano das Neves 2418 Divino Espirito Santo Vila Velha ES 29107900 Brazil
130;KOBE VITORIA;29075-010 Av. Fernando Ferrari 1960 GOIABEIRAS ES Vitória;-202.683.839;-402.992.928;-20.268384;-40.299293;Vitória;ES;29075010;Av Fernando Ferrari 1960 GOIABEIRAS Vitoria ES 29075010 Brazil
131;LEAUTO BOTAFOGO;22281-035 Rua Real Grandeza 301 BOTAFOGO RJ Rio de Janeiro;-229.574.659;-431.913.822;-22.957466;-43.191382;Rio de Janeiro;RJ;22281035;Rua Real Grandeza 301 BOTAFOGO Rio de Janeiro RJ 22281035 Brazil
132;LEAUTO MARACANÃ;20530-001 Boulevard Vinte e Oito de setembro 3 Maracanã RJ Rio de Janeiro;-229.140.085;-432.350.125;-22.914009;-43.235013;Rio de Janeiro;RJ;20530001;Boulevard Vinte e Oito de setembro 3 Maracana Rio de Janeiro RJ 20530001 Brazil
133;MARLIN BOA VISTA;69306-405 Av.Ville Roy 4852 NOSSA SENHORA APARECIDA RR Boa Vista;28.307.522;-606.648.472;2.830752;-60.664847;Boa Vista;RR;69306405;Av Ville Roy 4852 NOSSA SENHORA APARECIDA Boa Vista RR 69306405 Brazil
134;MIHARA UBA;36500-091 Av. Comendador Jacinto Soares de Souza Lima 1800 Centro MG Ubá;-211.137.607;-429.528.987;-21.113761;-42.952899;Ubá;MG;36500091;Av Comendador Jacinto Soares de Souza Lima 1800 Centro Uba MG 36500091 Brazil
135;NAGAI JUIZ DE FORA;36033-000 Av. Deusdedith Salgado 2460 TEIXEIRAS MG Juiz de Fora;-217.995.567;-433.692.572;-21.799557;-43.369257;Juiz de Fora;MG;36033000;Av Deusdedith Salgado 2460 TEIXEIRAS Juiz de Fora MG 36033000 Brazil
136;NICENTER AV BRASILIA;86025-180 Av. Brasilia 2699 JD. PAULISTA PR Londrina;-2.329.222;-511.703.852;-23.29222;-51.170385;Londrina;PR;86025180;Av Brasilia 2699 JD PAULISTA Londrina PR 86025180 Brazil
137;NICENTER AV TIRADENTES;86070-545 Av. Tiradentes 209 JD. DOM BOSCO PR Londrina;-233.020.711;-511.757.776;-23.302071;-51.175778;Londrina;PR;86070545;Av Tiradentes 209 JD DOM BOSCO Londrina PR 86070545 Brazil
138;NIKAI ARAPIRACA;57300-000 Rod AL 220 SENADOR ARNON DE MELO AL Arapiraca;-9.740.226.999.999.990;-366.926.378;-9.740227;-36.692638;Arapiraca;AL;57300000;Rod AL 220 SENADOR ARNON DE MELO Arapiraca AL 57300000 Brazil
139;NIKAI MACEIO;57038-000 Avenida Comendador Gustavo Paiva 4175 Mangabeiras AL Maceió;-96.288.137;-356.986.372;-9.628814;-35.698637;Maceió;AL;57038000;Avenida Comendador Gustavo Paiva 4175 Mangabeiras Maceio AL 57038000 Brazil
140;NINJA FOZ DO IGUAÇU;85863-762 Avenida Costa e Silva 1555 Alto São Francisco PR Foz do Iguaçu;-255.263.114;-545.670.327;-25.526311;-54.567033;Foz do Iguaçu;PR;85863762;Avenida Costa e Silva 1555 Alto Sao Francisco Foz do Iguacu PR 85863762 Brazil
141;NINJA TOLEDO;85906-370 Avenida José João Muraro 996 Jardim Porto Alegre PR Toledo;-247.259.338;-537.283.782;-24.725934;-53.728378;Toledo;PR;85906370;Avenida Jose Joao Muraro 996 Jardim Porto Alegre Toledo PR 85906370 Brazil
142;NISCAR CAMPINA GRANDE;58407-530 Rua Raimundo Nonato de Araújo 201 José Pinheiro PB Campina Grande;-72.303.831;-358.695.661;-7.230383;-35.869566;Campina Grande;PB;58407530;Rua Raimundo Nonato de Araujo 201 Jose Pinheiro Campina Grande PB 58407530 Brazil
143;NISCAR PATOS;58705-280 Rua Prefeito Biroca Firmino Sete Casas PB Patos;-70.094.901;-372.881.836;-7.00949;-37.288184;Patos;PB;58705280;Rua Prefeito Biroca Firmino Sete Casas Patos PB 58705280 Brazil
144;NIX BLUMENAU;89015-203 Rua Itajaí 1793 VORSTADT SC Blumenau;-26.911.511;-490.478.593;-26.911511;-49.047859;Blumenau;SC;89015203;Rua Itajai 1793 VORSTADT Blumenau SC 89015203 Brazil
145;NIX JARAGUA DO SUL;89251-100 Rua Presidente Epitácio Pessoa 1081 CENTRO SC Jaraguá do Sul;-264.754.997;-490.905.932;-26.4755;-49.090593;Jaraguá do Sul;SC;89251100;Rua Presidente Epitacio Pessoa 1081 CENTRO Jaragua do Sul SC 89251100 Brazil
146;NIX JOINVILLE;89237-001 Rua Quinze de Novembro 3706 GLORIA SC Joinville;-262.925.326;-488.766.151;-26.292533;-48.876615;Joinville;SC;89237001;Rua Quinze de Novembro 3706 GLORIA Joinville SC 89237001 Brazil
147;PRIMAVIA BARREIRAS;47807-510 Rod. Br 020 209 VILA RICA BA Barreiras;-121.285.323;-450.176.188;-12.128532;-45.017619;Barreiras;BA;47807510;Rod Br 020 209 VILA RICA Barreiras BA 47807510 Brazil
148;PRIMAVIA UNAI;38610-000 Rua Aldeia 10 CENTRO MG Unaí;-163.635.115;-469.032.355;-16.363512;-46.903236;Unaí;MG;38610000;Rua Aldeia 10 CENTRO Unai MG 38610000 Brazil
149;PROESTE BAURU;17013-242 Avenida Rodrigues Alves 22 Vila Cardia SP Bauru;-223.199.459;-49.058.667;-22.319946;-49.058667;Bauru;SP;17013242;Avenida Rodrigues Alves 22 Vila Cardia Bauru SP 17013242 Brazil
150;PROESTE MARILIA;17519-000 Av. Tiradentes 1268 FRAGATA SP Marília;-222.273.877;-49.932.753;-22.227388;-49.932753;Marília;SP;17519000;Av Tiradentes 1268 FRAGATA Marilia SP 17519000 Brazil
151;PROESTE PRESIDENTE PRUDENTE;19060-000 Avenida Manoel Goulart 3700 Vila Santa Helena SP Presidente Prudente;-221.190.196;-5.141.778.619.999.990;-22.11902;-51.417786;Presidente Prudente;SP;19060000;Avenida Manoel Goulart 3700 Vila Santa Helena Presidente Prudente SP 19060000 Brazil
152;RAVIERA CAMPO GRANDE;79040-000 Rua Ceará 242 Chácara Cachoeira MS Campo Grande;-204.610.491;-546.045.262;-20.461049;-54.604526;Campo Grande;MS;79040000;Rua Ceara 242 Chacara Cachoeira Campo Grande MS 79040000 Brazil
153;RAVIERA DOURADOS;79840-630 Avenida Marcelino Pires 5110 Vila Industrial MS Dourados;-222.246.667;-547.780.269;-22.224667;-54.778027;Dourados;MS;79840630;Avenida Marcelino Pires 5110 Vila Industrial Dourados MS 79840630 Brazil
154;REDENÇÃO NATAL;59054-700 Avenida Prudente de Morais 3398 Lagoa Nova RN Natal;-58.120.742;-352.104.439;-5.812074;-35.210444;Natal;RN;59054700;Avenida Prudente de Morais 3398 Lagoa Nova Natal RN 59054700 Brazil
155;SAGA ANAPOLIS;75124-820 Avenida Brasil 4250 SETOR SUL JAMIL MIGUEL GO Anápolis;-16.337.443;-48.952.963;-16.337443;-48.952963;Anápolis;GO;75124820;Avenida Brasil 4250 SETOR SUL JAMIL MIGUEL Anapolis GO 75124820 Brazil
156;SAGA AV. 85;74823-310 Avenida 85 1010 Setor Bela Vista GO Goiânia;-166.950.033;-492.642.491;-16.695003;-49.264249;Goiânia;GO;74823310;Avenida 85 1010 Setor Bela Vista Goiania GO 74823310 Brazil
157;SAGA CUIABÁ;78010-400 Avenida Fernando Correa da Costa 375 Areão MT Cuiabá;-156.036.604;-5.608.528.519.999.990;-15.60366;-56.085285;Cuiabá;MT;78010400;Avenida Fernando Correa da Costa 375 Areao Cuiaba MT 78010400 Brazil
158;SAGA RIO VERDE;75905-701 Rua Marcha Para o Oeste 1011 Setor Alvorada Prolongamento GO Rio Verde;-178.048.044;-5.092.259.050.000.000;-17.804804;-50.92259;Rio Verde;GO;75905701;Rua Marcha Para o Oeste 1011 Setor Alvorada Prolongamento Rio Verde GO 75905701 Brazil
159;SAGA TAGUATINGA;71953-000 Q QS 03 Praça 400-A AGUAS CLARAS DF Brasília;-156.913.725;-478.271.418;-15.691372;-47.827142;Brasília;DF;71953000;Q QS 03 Praca 400 A AGUAS CLARAS Brasilia DF 71953000 Brazil
160;SAGA TANGARA DA SERRA;78304-110 Av Ismael Jose do Nascimento 2030 Parque Tangara MT Tangará da Serra;-146.270.552;-5.750.561.310.000.000;-14.627055;-57.505613;Tangará da Serra;MT;78304110;Av Ismael Jose do Nascimento 2030 Parque Tangara Tangara da Serra MT 78304110 Brazil
161;SAGA TAQUARI;71551-010 ST HAB TAQUARI TR 1 AV COMERCIAL LT 5 E 6 LAGO NORTE DF Brasília;-157.221.002;-478.839.851;-15.7221;-47.883985;Brasília;DF;71551010;ST HAB TAQUARI TR 1 AV COMERCIAL LT 5 E 6 LAGO NORTE Brasilia DF 71551010 Brazil
162;SAGA VARZEA GRANDE;78115-806 Av. da Feb (Lot Manga) 1647 PONTE NOVA MT Várzea Grande;-15.626.538;-561.123.823;-15.626538;-56.112382;Várzea Grande;MT;78115806;Av da Feb Lot Manga 1647 PONTE NOVA Varzea Grande MT 78115806 Brazil
163;SAN DIEGO ABOLICAO;21380-008 Av. Dom Helder Camara 9061 QUINTINO BOCAIUVA RJ Rio de Janeiro;-228.851.627;-433.150.177;-22.885163;-43.315018;Rio de Janeiro;RJ;21380008;Av Dom Helder Camara 9061 QUINTINO BOCAIUVA Rio de Janeiro RJ 21380008 Brazil
164;SAN DIEGO BARRA;22793-081 Av. das Américas 7250 BARRA DA TIJUCA RJ Rio de Janeiro;-229.998.176;-433.853.521;-22.999818;-43.385352;Rio de Janeiro;RJ;22793081;Av das Americas 7250 BARRA DA TIJUCA Rio de Janeiro RJ 22793081 Brazil
165;SAN DIEGO RECREIO;22790-704 Avenida das Américas 17000 Recreio dos Bandeirantes RJ Rio de Janeiro;-230.157.368;-434.742.739;-23.015737;-43.474274;Rio de Janeiro;RJ;22790704;Avenida das Americas 17000 Recreio dos Bandeirantes Rio de Janeiro RJ 22790704 Brazil
166;SAN DIEGO SÃO CONRADO;22610-230 Praça São Conrado 20 São Conrado RJ Rio de Janeiro;-2.299.898;-4.327.073.000.000.000;-22.99898;-43.27073;Rio de Janeiro;RJ;22610230;Praca Sao Conrado 20 Sao Conrado Rio de Janeiro RJ 22610230 Brazil
167;SANVEL ARACAJU;49025-620 Av. Presidente Tancredo Neves 640 JARDINS SE Aracaju;-109.520.738;-37.057.338;-10.952074;-37.057338;Aracaju;SE;49025620;Av Presidente Tancredo Neves 640 JARDINS Aracaju SE 49025620 Brazil
168;SEIJIN CABO FRIO;28909-490 Av. Joaquin Nogueira 1530 Sao Cristovao RJ Cabo Frio;-228.885.131;-420.494.067;-22.888513;-42.049407;Cabo Frio;RJ;28909490;Av Joaquin Nogueira 1530 Sao Cristovao Cabo Frio RJ 28909490 Brazil
169;SEIJIN CAMPOS DOS GOYTACAZES;28016-811 Avenida Alberto Lamego 383 Parque Califórnia RJ Campos dos Goytacazes;-217.643.963;-412.888.565;-21.764396;-41.288857;Campos dos Goytacazes;RJ;28016811;Avenida Alberto Lamego 383 Parque California Campos dos Goytacazes RJ 28016811 Brazil
170;SEIJIN MACAE;27947-287 Av. Lacerda Agostinho 300 Botafogo RJ Macaé;-223.587.944;-417.978.286;-22.358794;-41.797829;Macaé;RJ;27947287;Av Lacerda Agostinho 300 Botafogo Macae RJ 27947287 Brazil
171;SEIJIN SÃO GONÇALO;24790-070 Av. Visconde de Santarém 308 Tribobo RJ São Gonçalo;-228.544.024;-4.302.432.510.000.000;-22.854402;-43.024325;São Gonçalo;RJ;24790070;Av Visconde de Santarem 308 Tribobo Sao Goncalo RJ 24790070 Brazil
172;SINAL ARICANDUVA;03527-900 Av. Aricanduva 5555 VILA MATILDE SP São Paulo;-235.617.909;-465.034.401;-23.561791;-46.50344;São Paulo;SP;03527900;Av Aricanduva 5555 VILA MATILDE Sao Paulo SP 03527900 Brazil
173;SINAL BARUERI;06455-000 Alameda Araguaia 1742 Alphaville Industrial SP Barueri;-235.004.158;-468.451.153;-23.500416;-46.845115;Barueri;SP;06455000;Alameda Araguaia 1742 Alphaville Industrial Barueri SP 06455000 Brazil
174;SINAL OSASCO;06090-010 Av. dos Autonomistas 4141 CENTRO SP Osasco;-235.282.911;-467.890.092;-23.528291;-46.789009;Osasco;SP;06090010;Av dos Autonomistas 4141 CENTRO Osasco SP 06090010 Brazil
175;SINAL TATUAPE;03164-120 Rua Almirante Brasil 200 MOOCA SP São Paulo;-235.502.802;-466.080.288;-23.55028;-46.608029;São Paulo;SP;03164120;Rua Almirante Brasil 200 MOOCA Sao Paulo SP 03164120 Brazil
176;SUPRA ASSIS;19815-001 Avenida Rui Barbosa 3000 Jardim Paulista SP Assis;-226.583.334;-503.901.263;-22.658333;-50.390126;Assis;SP;19815001;Avenida Rui Barbosa 3000 Jardim Paulista Assis SP 19815001 Brazil
177;TOKIO AV NAZARE;04262-100 Av. Nazaré 720 IPIRANGA SP São Paulo;-235.905.366;-466.106.454;-23.590537;-46.610645;São Paulo;SP;04262100;Av Nazare 720 IPIRANGA Sao Paulo SP 04262100 Brazil
178;TOKIO AV. WASHINGTON LUIS;04662-003 Avenida Washington Luis 3080 JARDIM MARAJOARA SP São Paulo;-236.512.201;-466.779.618;-23.65122;-46.677962;São Paulo;SP;04662003;Avenida Washington Luis 3080 JARDIM MARAJOARA Sao Paulo SP 04662003 Brazil
179;TOKIO NAÇÕES UNIDAS;04795-100 Avenida das Nações Unidas 22463 VILA AMEIDA SP São Paulo;-236.766.285;-466.978.569;-23.676628;-46.697857;São Paulo;SP;04795100;Avenida das Nacoes Unidas 22463 VILA AMEIDA Sao Paulo SP 04795100 Brazil
180;TOKIO SANTO ANDRE;09020-110 Av. Ramiro Colleoni 307 CENTRO SP Santo André;-236.630.163;-465.298.771;-23.663016;-46.529877;Santo André;SP;09020110;Av Ramiro Colleoni 307 CENTRO Santo Andre SP 09020110 Brazil
181;TOKIO SBC;09601-000 Av. Senador Vergueiro 2947 PARQUE DOS MENINOS SP São Bernardo do Campo;-236.697.912;-465.604.307;-23.669791;-46.560431;São Bernardo do Campo;SP;09601000;Av Senador Vergueiro 2947 PARQUE DOS MENINOS Sao Bernardo do Campo SP 09601000 Brazil
182;TOKIO SÃO CAETANO DO SUL;09521-310 Avenida Goiás 227 Santo Antônio SP São Caetano do Sul;-236.150.512;-465.767.918;-23.615051;-46.576792;São Caetano do Sul;SP;09521310;Avenida Goias 227 Santo Antonio Sao Caetano do Sul SP 09521310 Brazil
183;TOKIO VILA MARIANA;01538-001 Avenida Lins de Vasconcelos 1418 Cambuci SP São Paulo;-235.757.653;-466.235.612;-23.575765;-46.623561;São Paulo;SP;01538001;Avenida Lins de Vasconcelos 1418 Cambuci Sao Paulo SP 01538001 Brazil
184;TOKIO ZONA NORTE;02052-050 Praça Stélio Machado Loureiro 10 Vila Guilherme SP São Paulo;-235.168.185;-466.095.732;-23.516818;-46.609573;São Paulo;SP;02052050;Praca Stelio Machado Loureiro 10 Vila Guilherme Sao Paulo SP 02052050 Brazil
185;TOTAL ATIBAIA;12940-130 Av. Alfredo André 615 CENTRO SP Atibaia;-231.173.476;-465.595.993;-23.117348;-46.559599;Atibaia;SP;12940130;Av Alfredo Andre 615 CENTRO Atibaia SP 12940130 Brazil
186;TOTAL POUSO ALEGRE;37554-210 Av. Prefeito Tuany Toledo 328 Fatima I MG Pouso Alegre;-222.203.712;-459.189.414;-22.220371;-45.918941;Pouso Alegre;MG;37554210;Av Prefeito Tuany Toledo 328 Fatima I Pouso Alegre MG 37554210 Brazil
187;TROPICAL ANANINDEUA;67020-000 Rod. BR 316 Km 04 3530 ÁGUAS LINDAS PA Ananindeua;-13.850.195;-48.405.359;-1.38502;-48.405359;Ananindeua;PA;67020000;Rod BR 316 Km 04 3530 AGUAS LINDAS Ananindeua PA 67020000 Brazil
188;TROPICAL BELEM;66053-180 RUA MUNICIPALIDADE 405 REDUTO PA Belém;-14.441.891;-484.939.166;-1.444189;-48.493917;Belém;PA;66053180;RUA MUNICIPALIDADE 405 REDUTO Belem PA 66053180 Brazil
189;TROPICAL IMPERATRIZ;65903-390 Rodovia BR-010 506 Centro MA Imperatriz;-55.176.212;-474.719;-5.517621;-47.4719;Imperatriz;MA;65903390;Rodovia BR 010 506 Centro Imperatriz MA 65903390 Brazil
190;TROPICAL MANAUS;69058-795 Avenida Constantino Nery 4580 Flores AM Manaus;-30.846.149;-600.262.627;-3.084615;-60.026263;Manaus;AM;69058795;Avenida Constantino Nery 4580 Flores Manaus AM 69058795 Brazil
191;TROPICAL MARABÁ;68509-280 Quadra Dezenove, Fls 27 Nova Marabá PA Marabá;-53.451.205;-490.781.208;-5.345121;-49.078121;Marabá;PA;68509280;Quadra Dezenove Fls 27 Nova Maraba Maraba PA 68509280 Brazil
192;TROPICAL PARAUAPEBAS;68515-000 Rodovia PA 275. S/N 0 Nova Carajás PA Parauapebas;-61.063.362;-499.744.366;-6.106336;-49.974437;Parauapebas;PA;68515000;Rodovia PA 275 S N 0 Nova Carajas Parauapebas PA 68515000 Brazil
193;TROPICAL SÃO LUIS;65066-140 Rua dos Tucanos 10 Parque Atlântico MA São Luís;-24.886.296;-4.424.279.620.000.000;-2.48863;-44.242796;São Luís;MA;65066140;Rua dos Tucanos 10 Parque Atlantico Sao Luis MA 65066140 Brazil
194;VALEC SOROCABA;18050-000 Av. Dr. Armando Pannunzio 730 CERRADO SP Sorocaba;-235.197.235;-474.909.403;-23.519724;-47.49094;Sorocaba;SP;18050000;Av Dr Armando Pannunzio 730 CERRADO Sorocaba SP 18050000 Brazil
195;VIA MONDO SETE LAGOAS;35700-293 Av. Raquel Teixeira Viana 894 CANAA MG Sete Lagoas;-194.684.269;-4.425.648.460.000.000;-19.468427;-44.256485;Sete Lagoas;MG;35700293;Av Raquel Teixeira Viana 894 CANAA Sete Lagoas MG 35700293 Brazil
196;VIA MONDO VARGINHA;37026-080 Av. Princesa do Sul 891 JARDIM ANDERE MG Varginha;-215.776.483;-454.419.085;-21.577648;-45.441908;Varginha;MG;37026080;Av Princesa do Sul 891 JARDIM ANDERE Varginha MG 37026080 Brazil
197;VIA MONTES CLAROS;39400-839 Av. Deputado Plinio Ribeiro 805 Esplanada MG Montes Claros;-167.158.875;-438.438.047;-16.715888;-43.843805;Montes Claros;MG;39400839;Av Deputado Plinio Ribeiro 805 Esplanada Montes Claros MG 39400839 Brazil
198;VIGORITO GUARULHOS;07025-000 Av. Guarulhos 2175 VILA AUGUSTA SP Guarulhos;-234.865.968;-465.441.356;-23.486597;-46.544136;Guarulhos;SP;07025000;Av Guarulhos 2175 VILA AUGUSTA Guarulhos SP 07025000 Brazil
199;VIGORITO PENHA;03734-260 Rua Buia 35 CANGAIBA SP São Paulo;-23.512.915;-4.652.582.049.999.990;-23.512915;-46.52582;São Paulo;SP;03734260;Rua Buia 35 CANGAIBA Sao Paulo SP 03734260 Brazil
200;VIGORITO VILA PRUDENTE;03295-000 Av. Professor Luiz Ignácio de Anhaia Mello 3700 VILA GRACIOSA SP São Paulo;-235.823.034;-465.583.302;-23.582303;-46.55833;São Paulo;SP;03295000;Av Professor Luiz Ignacio de Anhaia Mello 3700 VILA GRACIOSA Sao Paulo SP 03295000 Brazil
201;VILLE ARACATUBA;16018-000 Av. Brasilia 2804 JARDIM NOVA YORQUE SP Araçatuba;-212.339.479;-504.406.952;-21.233948;-50.440695;Araçatuba;SP;16018000;Av Brasilia 2804 JARDIM NOVA YORQUE Aracatuba SP 16018000 Brazil
202;VILLE SAO JOSE RIO PRETO;15035-580 Av. Clovis Oger 1000 DISTRITO INDUSTRIAL SP São José do Rio Preto;-208.216.465;-4.941.746.149.999.990;-20.821646;-49.417461;São José do Rio Preto;SP;15035580;Av Clovis Oger 1000 DISTRITO INDUSTRIAL Sao Jose do Rio Preto SP 15035580 Brazil
