linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
80;;;endereco;Rua Henrique Boiteux, 558, Estreito, Florianópolis - SC, 88075-060, Brasil;Rua Henrique Boiteux 558 Florianopolis SC 88075060 Brazil;Florianópolis;SC;88075060;-27.59208;-48.57447;-27.59208;-48.57447;Estreito;;
81;;;endereco;Avenida Brasil Oeste, 3880, Boqueirão, Passo Fundo - RS, 99025-000, Brasil;Avenida Brasil Oeste 3880 Passo Fundo RS 99025000 Brazil;Passo Fundo;RS;99025000;-28.26932;-52.44058;-28.26932;-52.44058;Boqueirão;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
82;;;endereco;Rua Desembargador Westphalen, 2447, Parolin, Curitiba - PR, 80220-030, Brasil;Rua Desembargador Westphalen 2447 Curitiba PR 80220030 Brazil;Curitiba;PR;80220030;-25.45336;-49.26283;-25.45336;-49.26283;Parolin;;
83;;;endereco;Rua Olegário Mariano, 40A, Centro, São João de Meriti - RJ, 25510-350, Brasil;Rua Olegario Mariano 40A Sao Joao de Meriti RJ 25510350 Brazil;São João de Meriti;RJ;25510350;-22.79458;-43.3665;-22.79458;-43.3665;Centro;;
84;;;endereco;Condor Hipermercados, Avenida Carlos Schmidt, 205, Jardim Apucarana, Apucarana - PR, 86804-350, Brasil;Avenida Carlos Schmidt 205 Apucarana PR 86804350 Brazil;Apucarana;PR;86804350;-23.54817;-51.45026;-23.54817;-51.45026;Jardim Apucarana;;
85;;;endereco;Ponto5, Rua Carolina Florence, Jardim Nossa Senhora Auxiliadora, Campinas - SP, 13073-225, Brasil;Ponto5 Rua Carolina Florence Jardim Nossa Senhora Auxiliadora Campinas SP 13073225 Brazil;Campinas;SP;13073225;-22.88553;-47.06203;-22.88553;-47.06203;;ALTO;sem numero de porta
86;;;endereco;BMW, Avenida das Nações Unidas, 17771, Santo Amaro, São Paulo - SP, 04795-100, Brasil;Avenida das Nacoes Unidas 17771 Sao Paulo SP 04795100 Brazil;São Paulo;SP;04795100;-23.64184;-46.72408;-23.64184;-46.72408;Santo Amaro;;
87;;;endereco;Avenida das Nações Unidas, 6787, Alto de Pinheiros, São Paulo - SP, 05425-070, Brasil;Avenida das Nacoes Unidas 6787 Sao Paulo SP 05425070 Brazil;São Paulo;SP;05425070;-23.56089;-46.70529;-23.56089;-46.70529;Alto de Pinheiros;;
88;;;endereco;Avenida Júlio de Mesquita, 694, Cambuí, Campinas - SP, 13025-061, Brasil;Avenida Julio de Mesquita 694 Campinas SP 13025061 Brazil;Campinas;SP;13025061;-22.89943;-47.05488;-22.89943;-47.05488;Cambuí;;
89;;;endereco;Rua Faustolo, 846, Lapa, São Paulo - SP, 05041-000, Brasil;Rua Faustolo 846 Sao Paulo SP 05041000 Brazil;São Paulo;SP;05041000;-23.52369;-46.69349;-23.52369;-46.69349;Lapa;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
90;;;endereco;Rua Itajaí, 1373, Vorstadt, Blumenau - SC, 89015-203, Brasil;Rua Itajai 1373 Blumenau SC 89015203 Brazil;Blumenau;SC;89015203;-26.91245;-49.05199;-26.91245;-49.05199;Vorstadt;;
91;;;endereco;Avenida Rudolf Dafferner, 400, Sorocaba - SP, 18085-005, Brasil;Avenida Rudolf Dafferner 400 Sorocaba SP 18085005 Brazil;Sorocaba;SP;18085005;-23.47618;-47.427;-23.47618;-47.427;;;
92;;;endereco;Avenida Tancredo Neves, 1559, Pioneiros Catarinenses, Cascavel - PR, 85805-000, Brasil;Avenida Tancredo Neves 1559 Cascavel PR 85805000 Brazil;Cascavel;PR;85805000;-24.96606;-53.4811;-24.96606;-53.4811;Pioneiros Catarinenses;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
93;;;endereco;Rua Santa Cruz, 876, Vila Mariana, São Paulo - SP, 04121-000, Brasil;Rua Santa Cruz 876 Sao Paulo SP 04121000 Brazil;São Paulo;SP;04121000;-23.59762;-46.62786;-23.59762;-46.62786;Vila Mariana;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
94;;;endereco;Rua da Constituição, 518, Vila Matias, Santos - SP, 11015-472, Brasil;Rua da Constituicao 518 Santos SP 11015472 Brazil;Santos;SP;11015472;-23.94746;-46.32387;-23.94746;-46.32387;Vila Matias;;
