linha;nome;motivo;endereco_original
9;linha 9;endereco incompleto;Pires do Rio, GO, Brasil
41;linha 41;endereco incompleto;Conceição do Rio Verde, MG, Brasil
66;linha 66;endereco incompleto;Pedra Azul, MG, Brasil
99;linha 99;endereco incompleto;Caratinga, MG, Brasil
142;linha 142;endereco incompleto;Muriaé, MG, Brasil
