severidade;linha;nome;endereco_dsp;risco
ALTO;101;;MG 424 Confins MG 33500000 Brazil;"sem numero de porta; logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;102;;Rua Maria Soares Sendas Centro Sao Joao de Meriti RJ 25581350 Brazil;sem numero de porta
ALTO;103;;Rua Domingos de Morais Vila Mariana Sao Paulo SP 04036100 Brazil;sem numero de porta
ALTO;104;;EPIA Setores Complementares Asa Sul Brasilia DF Brazil;sem numero de porta
ALTO;105;;Rua Professor Alfredo Gomes Botafogo Rio de Janeiro RJ 22251080 Brazil;sem numero de porta
ALTO;107;;Rua Sebastiao Fabiano Dias Belvedere Belo Horizonte MG 30320690 Brazil;sem numero de porta
ALTO;112;;Avenida Severino Ballesteros Rodrigues Cabral Contagem MG 32146003 Brazil;sem numero de porta
ALTO;116;;Rua Orlando Odilio Koerich Distrito Industrial Sao Jose SC 86905000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;117;;Avenida Jorge Elias de Lucca Nossa Senhora da Salete Criciuma SC 88813390 Brazil;sem numero de porta
ALTO;118;;Via de Fato Rua Guaiao Aparecida Santos SP 11035260 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta"
ALTO;119;;Avenida Presidente Kennedy Portao Curitiba PR 80610010 Brazil;sem numero de porta
ALTO;120;;Siberian Sanvitto Caxias do Sul RS 95112360 Brazil;sem numero de porta
ALTO;122;;Avenida Santa Barbara Vila Mollon IV Santa Barbara d Oeste SP 13456625 Brazil;sem numero de porta
ALTO;123;;Estrada do Campo Limpo 414 Sao Paulo SP 05777000 Brazil;"endereco de rodovia (57-67% falharam); CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;125;;Parque dos Rodoviarios Campos dos Goytacazes RJ Brazil;sem numero de porta
ALTO;127;;Grafica 2ml Uberlandia Shopping Gavea Uberlandia MG 38411106 Brazil;sem numero de porta
ALTO;128;;Rua Pedro Lessa Santa Monica Florianopolis SC 88035020 Brazil;sem numero de porta
ALTO;130;;Rodovia Akzo Nobei Itupeva SP 13295000 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
