severidade;linha;nome;endereco_dsp;risco
MEDIO;89;;Rua Colombia 84 Sao Paulo SP 01438000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;91;;Rua da Consolacao 3675 Sao Paulo SP 01416000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;95;;Rua Amauri 282 Sao Paulo SP 01448000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;99;;Rua Colombia 217 Sao Paulo SP 01438000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;102;;Rua Barao de Jaguaripe 289 Rio de Janeiro RJ 22421000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;103;;Rua Barao de Jaguaripe 242 Rio de Janeiro RJ 22421000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;106;;Rua Barao de Jaguaripe 94 Rio de Janeiro RJ 22421000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;121;;Rua Pereira Cardoso 588 Morungaba SP 13260000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;124;;Avenida Gilson Sa 263 Mangaratiba RJ 23860000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;127;;Rua Tenente Francisco Antonio 295 Paraty RJ 23970000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;128;;Rua E 40 Armacao dos Buzios RJ 28950000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;129;;Avenida Princesa Isabel 1457 Ilhabela SP 11630000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;137;;Avenida Queiroz Filho 830 Sao Paulo SP 05319000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;141;;Rua Bom Pastor 800 Sao Paulo SP 04203000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;143;;Avenida Manoel Viera 603 Aracoiaba da Serra SP 18190000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;146;;Avenida Doutor Arnaldo 1828 Sao Paulo SP 01255000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;154;;Avenida Antunes Ribas 1325 Sao Miguel das Missoes RS 98865000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
MEDIO;155;;Rua Franklin Ferreira da Costa 1275 Sao Miguel das Missoes RS 98865000 Brazil;CEP generico de cidade, nao de rua (2,4x mais falha)
