severidade;linha;nome;endereco_dsp;risco
ALTO;419;;Rua Nove Qd 8 141 Parque dos Buritis II Rio Verde GO 75907300 Brazil;sem numero de porta
ALTO;428;;Estrada Municipal Bela Vista 2500 Santana de Parnaiba SP 06539010 Brazil;endereco de rodovia (57-67% falharam)
ALTO;429;;Avenida Yojiro Takaoka Alphaville Santana de Parnaiba SP 06541038 Brazil;sem numero de porta
ALTO;430;;Rua Tenente Avelar Pires Azevedo Centro Osasco SP 06016060 Brazil;sem numero de porta
ALTO;433;;Avenida Deputado Jamel Cecilio Jardim Goias Goiania GO 74810100 Brazil;sem numero de porta
ALTO;435;;Rua Quatorze 16 13 Jardim Goias Goiania GO 74810180 Brazil;sem numero de porta
ALTO;439;;Ceasa Pouso Alegre MG 37550000 Brazil;"sem numero de porta; logradouro sem nome; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;440;;Rodovia Fernao Dias Extrema MG 37640000 Brazil;"endereco de rodovia (57-67% falharam); sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;448;;Park Station Estacione Barra Funda Sao Paulo SP 01139000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;449;;Viela Ouro Picanco Guarulhos SP 07081290 Brazil;sem numero de porta
ALTO;454;;Estrada Uniao e Industria 10395 Petropolis RJ 25750226 Brazil;endereco de rodovia (57-67% falharam)
ALTO;458;;Rua Ataliba de Barros Sao Mateus Juiz de Fora MG 36025275 Brazil;sem numero de porta
ALTO;469;;Rua Garca Barra da Tijuca Rio de Janeiro RJ 23064250 Brazil;sem numero de porta
ALTO;486;;Emporio Brew Nova Friburgo RJ 28623020 Brazil;sem numero de porta
ALTO;490;;Banca Alpha Graciosa Alphaville Barueri SP 06473000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;493;;Avenida Franklin Roosevelt Centro Rio de Janeiro RJ 20021120 Brazil;sem numero de porta
ALTO;501;;Downtown Leste Barra da Tijuca Rio de Janeiro RJ Brazil;sem numero de porta
ALTO;509;;Agencia Corpo Barra da Tijuca Rio de Janeiro RJ 22775057 Brazil;sem numero de porta
