audiencia;lat;lng
bancos;-15.55525;-54.30125
bancos;-16.47859;-54.61679
bancos;-16.47263;-54.63201
bancos;-15.59494;-56.11989
bancos;-26.72771;-53.5159
bancos;-14.85803;-40.83447
bancos;-9.39602;-40.49698
bancos;-9.41762;-40.5023
bancos;-9.40263;-40.49999
bancos;-7.20042;-39.32009
bancos;-7.24658;-39.31377
bancos;-7.2392;-39.42206
bancos;-7.26712;-39.32209
bancos;-7.25275;-39.31762
bancos;-10.18457;-48.33305
bancos;-20.33983;-40.28397
bancos;-20.30217;-40.29225
bancos;-12.99123;-38.52479
bancos;-12.99897;-38.52245
bancos;-13.00798;-38.51571
bancos;-13.00946;-38.46584
bancos;-12.97899;-38.46237
bancos;-12.88209;-38.30371
bancos;-10.93503;-37.0523
bancos;-9.6602;-35.69805
bancos;-8.03743;-34.87527
bancos;-8.12503;-34.89935
bancos;-5.79349;-35.19837
bancos;-5.07017;-42.79129
bancos;-2.48737;-44.24483
bancos;-1.44878;-48.48696
bancos;-20.46;-54.61547
bancos;-15.58938;-56.10862
bancos;-3.11261;-60.02342
bancos;-12.97119;-38.51336
bancos;-12.97908;-38.45446
bancos;-20.45986;-54.61511
bancos;-3.13585;-60.02139
bancos;-1.45271;-48.48118
bancos;-3.73593;-38.50022
bancos;-7.11924;-34.84624
bancos;-5.80813;-35.20943
bancos;-8.06228;-34.89686
bancos;-8.11712;-34.89549
bancos;-9.66391;-35.73628
bancos;-5.80984;-35.20925
bancos;-20.46126;-54.61528
bancos;-15.59608;-56.0968
bancos;-14.85406;-40.83799
bancos;-7.11989;-34.84592
bancos;-3.10654;-60.01285
bancos;-10.93507;-37.0522
bancos;-20.30462;-40.29319
bancos;-9.65735;-35.69884
bancos;-8.11409;-34.89811
bancos;-8.04864;-34.89353
bancos;-13.00935;-38.52887
bancos;-13.00574;-38.45906
clubes;-18.41303;-40.21924
clubes;-3.73161;-38.50514
clubes;-1.3299;-48.43953
clubes;-15.53337;-56.08997
clubes;-18.70749;-40.39559
clubes;-18.29291;-39.95618
clubes;-1.35816;-48.36832
clubes;-16.36859;-39.57719
clubes;-9.92412;-63.02037
clubes;-14.85885;-40.82359
clubes;-10.59713;-55.12013
clubes;-9.95011;-54.9147
clubes;-8.77674;-63.86637
clubes;-7.43311;-34.91153
clubes;-3.06457;-59.97798
clubes;-18.42525;-40.82671
clubes;-18.99794;-57.65057
clubes;-19.39382;-54.58412
clubes;-15.24751;-40.25099
clubes;-3.6959;-40.34598
clubes;-24.08276;-54.25808
clubes;-8.03678;-34.90163
clubes;-9.92409;-63.02039
clubes;-11.4433;-61.43684
clubes;-17.53469;-39.729
clubes;-10.81587;-55.45601
clubes;-2.92859;-41.75369
clubes;-5.08853;-42.77135
clubes;-20.27039;-40.2895
clubes;-21.62297;-55.16826
clubes;-12.13059;-44.98683
clubes;-8.03382;-34.9509
concessionarias;-20.29753;-40.30052
concessionarias;-12.9481;-38.42227
concessionarias;-15.63597;-56.11893
concessionarias;-20.45847;-54.58153
concessionarias;-5.08024;-42.78692
concessionarias;-1.45892;-48.47857
concessionarias;-15.61258;-56.07551
concessionarias;-5.08065;-42.76167
concessionarias;-8.10076;-34.91058
concessionarias;-11.84736;-55.49197
concessionarias;-15.61188;-56.07707
concessionarias;-12.93699;-38.40411
concessionarias;-20.31365;-40.31627
concessionarias;-7.0815;-34.84858
concessionarias;-2.48899;-44.24832
concessionarias;-1.43566;-48.49087
concessionarias;-5.85324;-35.21117
concessionarias;-15.60628;-56.08305
concessionarias;-20.28485;-40.3023
concessionarias;-8.7571;-63.88666
concessionarias;-10.9123;-37.06406
concessionarias;-9.62675;-35.73422
concessionarias;-3.00783;-60.03286
concessionarias;-20.28293;-40.30176
concessionarias;-20.38593;-40.49805
concessionarias;-20.19125;-40.26775
concessionarias;-19.48551;-40.12122
concessionarias;-20.53045;-54.59837
concessionarias;-22.16931;-54.6594
concessionarias;-20.48635;-54.61434
concessionarias;-16.45783;-54.66237
concessionarias;-15.60643;-56.08283
concessionarias;-12.14067;-45.81587
concessionarias;-12.08381;-45.70981
concessionarias;-14.82331;-40.81427
concessionarias;-12.24212;-38.98587
concessionarias;-12.30686;-38.89001
concessionarias;-12.82407;-38.3961
concessionarias;31.95216;35.23315
concessionarias;-10.93584;-37.08309
concessionarias;-9.56554;-35.78579
concessionarias;-8.22163;-34.9911
concessionarias;-8.11029;-34.91052
concessionarias;-7.32293;-35.89615
concessionarias;-7.11991;-34.85168
concessionarias;-5.85208;-35.20995
concessionarias;-5.99511;-35.26257
concessionarias;-10.01151;-67.78473
concessionarias;-3.77108;-38.49808
concessionarias;-5.07985;-42.75989
concessionarias;-5.14702;-42.77424
concessionarias;-2.49382;-44.27084
concessionarias;-5.50274;-47.47134
concessionarias;-3.10726;-60.02577
concessionarias;-3.09547;-60.02702
concessionarias;-12.75082;-60.10632
concessionarias;-9.46911;-40.48053
concessionarias;-5.35426;-49.09188
concessionarias;-3.08588;-60.02477
concessionarias;-12.97923;-38.45168
concessionarias;-3.74449;-38.47177
concessionarias;-20.29535;-40.30166
concessionarias;-2.48832;-44.24346
concessionarias;-15.60366;-56.08529
concessionarias;-20.46827;-54.58983
concessionarias;-7.03176;-34.84125
concessionarias;-1.43533;-48.491
concessionarias;-8.11047;-34.91121
concessionarias;-5.071;-42.80031
concessionarias;-5.86391;-35.21648
concessionarias;-10.27436;-48.33263
concessionarias;-7.95876;-34.91418
decor;-23.53197;-46.71533
golfclubs;-3.74916;-38.52909
golfclubs;-8.03387;-34.95087
golfclubs;-20.29708;-40.29651
golfclubs;-20.5207;-54.61295
golfclubs;-1.45129;-48.48737
golfclubs;-1.28819;-47.94295
golfclubs;-8.03382;-34.9509
helipontos;-20.2308;-40.27706
helipontos;-20.31836;-40.32288
helipontos;-20.32718;-40.26915
helipontos;-20.23726;-40.27964
helipontos;-21.15237;-53.28148
helipontos;-20.51485;-54.65451
helipontos;-21.65309;-53.87199
helipontos;-14.34217;-42.53163
helipontos;-20.23176;-40.2773
helipontos;-20.45062;-54.57653
helipontos;-19.00499;-57.59441
helipontos;-15.56241;-56.08878
helipontos;-3.06401;-60.10753
helipontos;-16.6936;-39.14521
helipontos;-16.86647;-39.14731
helipontos;-16.60944;-39.11669
helipontos;-14.27578;-38.99145
helipontos;-12.79421;-38.49796
helipontos;-12.9977;-38.46731
helipontos;-12.9895;-38.47369
helipontos;-13.88221;-38.94465
helipontos;-12.97966;-38.46137
helipontos;-10.88924;-37.05491
helipontos;-11.00224;-39.29595
helipontos;-9.74938;-43.20815
helipontos;-10.02793;-36.02075
helipontos;-8.69378;-37.27076
helipontos;-12.97948;-38.4524
helipontos;-5.00956;-42.76759
helipontos;-8.04515;-34.89764
helipontos;-8.05892;-34.88382
helipontos;-8.19114;-35.50255
helipontos;-12.67364;-38.27345
helipontos;-12.96258;-38.43584
helipontos;-8.13671;-34.9022
helipontos;-7.24003;-35.93072
helipontos;-8.08968;-34.88194
helipontos;-8.17294;-35.63819
helipontos;-8.05248;-34.89805
helipontos;-8.18647;-35.49964
helipontos;-7.06724;-37.3514
helipontos;-8.16007;-36.19716
helipontos;-5.38243;-36.82176
helipontos;-7.15459;-34.81856
helipontos;-7.11592;-34.84253
helipontos;-8.19299;-35.50355
helipontos;-8.02506;-35.03977
helipontos;-7.18972;-34.80306
helipontos;-8.15871;-34.91148
helipontos;-8.07479;-34.90529
helipontos;-4.92824;-39.16787
helipontos;-4.43221;-37.77839
helipontos;-4.23175;-38.89085
helipontos;-3.96795;-38.88977
helipontos;-3.74741;-38.48995
helipontos;-3.81044;-38.43161
helipontos;-7.16433;-34.86295
helipontos;-7.29483;-34.81981
helipontos;-8.06415;-34.89811
helipontos;-8.13271;-34.90053
helipontos;-4.37902;-39.0335
helipontos;-5.35392;-35.35934
helipontos;-12.79472;-38.53139
helipontos;-12.5071;-39.18702
helipontos;-2.49405;-44.26076
helipontos;-2.52516;-44.12556
helipontos;-2.48946;-44.29549
helipontos;-2.46863;-44.20092
helipontos;-2.47004;-44.17384
helipontos;-8.03534;-34.90527
helipontos;-4.46731;-43.88215
helipontos;-4.5108;-43.91863
helipontos;-2.24241;-49.50418
helipontos;-5.00959;-42.76759
helipontos;-9.96442;-67.81379
joalherias;-11.86075;-55.48884
joalherias;-8.75202;-63.87625
joalherias;-20.31216;-40.28913
joalherias;-15.61765;-56.12276
joalherias;-12.92586;-38.37931
joalherias;-3.08473;-60.07314
joalherias;-20.34116;-40.28946
joalherias;-15.57592;-56.0724
joalherias;-3.08773;-60.02422
joalherias;-9.636;-35.70305
joalherias;-2.52884;-44.25705
joalherias;-3.10346;-60.01347
joalherias;-12.98019;-38.45682
joalherias;-1.44601;-48.48904
joalherias;-20.34719;-40.29484
joalherias;-20.45796;-54.58788
joalherias;-12.97718;-38.45349
joalherias;-8.1177;-34.90227
joalherias;-20.2395;-40.27446
joalherias;-8.08612;-34.89438
joalherias;-3.75771;-38.48887
joalherias;-8.08619;-34.89436
joalherias;-5.5713;-47.4452
joalherias;-8.08928;-34.88196
joalherias;-15.65869;-56.12335
joalherias;-20.34199;-40.28839
joalherias;-3.87758;-38.61731
joalherias;-5.07714;-42.80021
joalherias;-7.22665;-39.3373
joalherias;-20.48017;-54.62679
joalherias;-13.00574;-38.52322
joalherias;-15.61189;-56.07358
joalherias;-5.81194;-35.2063
joalherias;-7.23478;-35.86909
joalherias;-12.98177;-38.46412
joalherias;-16.47212;-54.60927
joalherias;-1.45824;-48.49502
joalherias;-3.70641;-40.34323
joalherias;-5.81982;-35.20762
joalherias;-0.0112;-51.08305
joalherias;-1.3742;-48.38751
joalherias;-14.79951;-39.27612
joalherias;-12.24114;-38.94639
joalherias;-15.5524;-56.05596
joalherias;-9.39361;-40.49276
joalherias;-12.9711;-38.47458
joalherias;-12.9812;-38.46495
joalherias;-2.50189;-44.27618
joalherias;-20.45881;-54.58958
joalherias;-3.73595;-38.49708
joalherias;-7.10283;-34.84289
joalherias;-12.90993;-38.34882
joalherias;-1.38899;-48.47135
joalherias;-20.35242;-40.29762
joalherias;-10.21653;-48.319
joalherias;-12.90312;-38.33633
joalherias;-8.03671;-34.91319
joalherias;-8.16647;-34.91852
joalherias;-15.61152;-56.1284
joalherias;-3.77637;-38.56099
joalherias;-5.36632;-49.11606
joalherias;-1.44627;-48.48947
joalherias;-9.56068;-35.74633
joalherias;-9.6092;-35.68537
joalherias;-3.09471;-60.02306
joalherias;-10.94306;-37.04793
joalherias;-3.73575;-38.56618
joalherias;-7.994;-34.84008
joalherias;-10.94282;-37.05987
joalherias;-7.21586;-48.22611
joalherias;-20.31275;-40.28822
joalherias;-8.05552;-34.8973
joalherias;-5.08494;-42.7898
joalherias;-15.58807;-56.11276
joalherias;-2.49383;-44.27014
joalherias;-3.87604;-38.45682
joalherias;-20.36821;-40.42514
joalherias;-1.36372;-48.44938
joalherias;2.84807;-60.70589
joalherias;-10.95017;-37.04535
joalherias;-3.74126;-38.47074
joalherias;-8.08597;-34.89472
joalherias;-3.72666;-38.5669
joalherias;-7.16528;-34.85202
joalherias;-3.08484;-60.07278
joalherias;-9.73408;-36.65552
joalherias;-5.8115;-35.20703
joalherias;-1.3891;-48.4704
joalherias;-8.29474;-35.95226
joalherias;-8.16659;-34.91835
joalherias;-20.24011;-40.27508
joalherias;-8.03843;-34.87195
joalherias;-20.39755;-54.55866
joalherias;-12.86136;-38.28839
joalherias;-5.08517;-42.79046
joalherias;-9.98455;-67.84161
joalherias;-8.29522;-35.95309
joalherias;-3.09434;-60.02327
joalherias;-14.87629;-40.81751
joalherias;-8.03697;-34.91267
joalherias;-1.45782;-48.49516
joalherias;-12.70651;-38.30886
joalherias;-3.03008;-59.97586
joalherias;-2.52769;-44.25462
joalherias;-5.74957;-35.20616
joalherias;-5.84173;-35.21108
joalherias;-6.07942;-49.83715
joalherias;-10.18324;-48.33717
joalherias;-3.1073;-60.00954
joalherias;-9.62715;-35.69907
