lat,lng,formatted_address,city,uf,cep
-23.65078,-46.72285,"Sala Quito, Santo Amaro, São Paulo - SP, 04795-100, Brasil",São Paulo,SP,04795-100
-23.59144,-46.68748,"Projeto Viol, Itaim Bibi, São Paulo - SP, 04543-011, Brasil",São Paulo,SP,04543-011
-23.58112,-46.68271,"Rua Amauri, 255, Itaim Bibi, São Paulo - SP, 01448-000, Brasil",São Paulo,SP,01448-000
-23.70301,-46.69259,"Avenida Jacinto Júlio, Cidade Dutra, São Paulo - SP, 04815-160, Brasil",São Paulo,SP,04815-160
-23.61116,-46.69587,"Rua James Joule, 65, Itaim Bibi, São Paulo - SP, 04576-080, Brasil",São Paulo,SP,04576-080
-23.65401,-46.71648,"Baía do Rods, Rua Engenheiro Francisco Pitta Brito, Santo Amaro, São Paulo - SP, 04753-080, Brasil",São Paulo,SP,04753-080
-23.57359,-46.64181,"Restaurante Morte Lenta, Rua Ramon Penharrubia, Vila Mariana, São Paulo - SP, 01323-140, Brasil",São Paulo,SP,01323-140
-23.56036,-46.65937,"Alameda Santos, 1940, Jardim Paulista, São Paulo - SP, 01418-102, Brasil",São Paulo,SP,01418-102
-23.53814,-46.66248,"Rua Doutor Veiga Filho, 778, Consolação, São Paulo - SP, 01229-000, Brasil",São Paulo,SP,01229-000
-23.62029,-46.69895,"Thinksuccess 7th Edition, Itaim Bibi, São Paulo - SP, 04707-000, Brasil",São Paulo,SP,04707-000
-23.64678,-46.59489,"Rua Francisco Taranto, 18, Sacomã, São Paulo - SP, 04187-220, Brasil",São Paulo,SP,04187-220
-23.59116,-46.68223,"MultiPark Internacional Plaza JK II, Avenida Presidente Juscelino Kubitschek, 3900, Itaim Bibi, São Paulo - SP, 04543-011, Brasil",São Paulo,SP,04543-011
-23.57625,-46.65773,"Rua Jundiaí, 149, Moema, São Paulo - SP, 04001-140, Brasil",São Paulo,SP,04001-140
-23.54363,-46.64443,"Praça da República, 295, República, São Paulo - SP, 01045-001, Brasil",São Paulo,SP,01045-001
-23.26066,-50.97552,"Rua Santos Dumont, 317, Jataizinho - PR, 86210-000, Brasil",Jataizinho,PR,86210-000
-23.26068,-50.97501,"Rua Antônio Moreno Eggea, 109, Jataizinho - PR, 86210-000, Brasil",Jataizinho,PR,86210-000
-22.78155,-51.22936,"Rua Ezau Silveira, 438, Alvorada do Sul - PR, 86150-000, Brasil",Alvorada do Sul,PR,86150-000
-25.1148,-50.17232,"Rua Antônio Schemberger, 662, Estrela, Ponta Grossa - PR, 84063-220, Brasil",Ponta Grossa,PR,84063-220
-23.5851,-46.68232,"RBS the Royal Bank of Scotland, Itaim Bibi, São Paulo - SP, 01451-011, Brasil",São Paulo,SP,01451-011
-23.56451,-46.64111,"Rua Maestro Cardim, 407, Bela Vista, São Paulo - SP, 01323-000, Brasil",São Paulo,SP,01323-000
-29.16733,-51.49205,"Ibravin, Rua Alameda Fenavinho, 29, Fenavinho, Bento Gonçalves - RS, 95700-000, Brasil",Bento Gonçalves,RS,95700-000
-29.85375,-51.18084,"Avenida Independência, Novo Esteio, Esteio - RS, 93270-010, Brasil",Esteio,RS,93270-010
-30.02981,-51.22084,"Avenida Independência, 64, Centro Histórico, Porto Alegre - RS, 90035-070, Brasil",Porto Alegre,RS,90035-070
-29.23766,-51.9,"Estrada São José, Encantado - RS, 95960-000, Brasil",Encantado,RS,95960-000
-23.60248,-46.69355,"Attilio TineliGaragem de Estacionamento, Rua Quintana, Itaim Bibi, São Paulo - SP, 04569-011, Brasil",São Paulo,SP,04569-011
-26.37278,-51.25391,"Estrada Jangadinha, Porto União - SC, 89400-000, Brasil",Porto União,SC,89400-000
-23.35721,-47.82463,"Hípica Centaurus, Tatuí - SP, Brasil",Tatuí,SP,
-21.20468,-47.78814,"Rua Eli Alves, 80, Subsetor Leste-3, Ribeirão Preto - SP, 14096-130, Brasil",Ribeirão Preto,SP,14096-130
-22.69574,-47.6186,"Avenida Cezira Giovanoni Moretti, Santa Rosa, Piracicaba - SP, 13414-157, Brasil",Piracicaba,SP,13414-157
-22.55309,-47.37217,"Via Anhanguera, Bairro Pires, Limeira - SP, 13486-199, Brasil",Limeira,SP,13486-199
-23.53657,-47.4497,"Avenida Ireno da Silva Venâncio, Votorantim - SP, 18111-100, Brasil",Votorantim,SP,18111-100
-22.7323,-47.28617,"Avenida Comendador Thomaz Fortunato, 3435, Chácara Letônia, Americana - SP, 13475-010, Brasil",Americana,SP,13475-010
-23.2988,-47.29579,"Alameda Carla, Condomínio Terras de São José, Itu - SP, 13306-424, Brasil",Itu,SP,13306-424
-23.31584,-47.32304,"Estrada Itu-157, 1522, Itu - SP, Brasil",Itu,SP,
-22.78523,-47.15763,"Parque Brasil 500, Parque Brasil 500, Paulínia - SP, 13140-000, Brasil",Paulínia,SP,13140-000
-20.72437,-48.91604,"Rua Francisco V. Blanco, 45, Olímpia - SP, 15400-000, Brasil",Olímpia,SP,15400-000
-22.35552,-47.37372,"Rua José Grande, 163, Vila Bressan, Araras - SP, 13600-529, Brasil",Araras,SP,13600-529
-27.20871,-49.63273,"Ponte Dom Tito Buss, Jardim América, Rio do Sul - SC, 89160-000, Brasil",Rio do Sul,SC,89160-000
-19.87441,-45.00355,"Avenida Coronel Pacífico Pinto, 840, Nova Serrana - MG, 35523-210, Brasil",Nova Serrana,MG,35523-210
-19.92572,-43.93133,"Alameda Ezequiel Dias, 365, Santa Efigênia, Belo Horizonte - MG, 30130-110, Brasil",Belo Horizonte,MG,30130-110
-21.82018,-45.54325,"São Gonçalo do Sapucaí, MG, Brasil",São Gonçalo do Sapucaí,MG,37490-000
-21.12783,-44.17008,"Rua Walter Rodrigues da Silva, 547, Tiradentes - MG, 36325-000, Brasil",Tiradentes,MG,36325-000
-19.95469,-43.91277,"Magrí, Mangabeiras, Belo Horizonte - MG, 30210-110, Brasil",Belo Horizonte,MG,30210-110
-22.28518,-46.8511,"Autódromo Velo Cittá, Mogi Guaçu - SP, Brasil",Mogi Guaçu,SP,
-22.23329,-45.47214,"Rua José Monti Sobrinho, Pedralva - MG, 37520-000, Brasil",Pedralva,MG,37520-000
-19.70519,-47.97101,"Centro de Treinamento do Oitavo Batalhão de Bombeiros Militar de Minas Gerais, Uberaba - MG, 38064-300, Brasil",Uberaba,MG,38064-300
-22.71768,-45.57776,"Avenida Doutor Irineu Gonçalves da Silva, 1200, Campos do Jordão - SP, 12460-000, Brasil",Campos do Jordão,SP,12460-000
-22.68064,-45.7308,"Sequoia Wellness Pousada do Quilombo, São Bento do Sapucaí - SP, 12490-000, Brasil",São Bento do Sapucaí,SP,12490-000
-22.70741,-47.01155,"Red Eventos, Jaguariúna - SP, 13820-000, Brasil",Jaguariúna,SP,13820-000
-22.5342,-44.07696,"Via Unimed, Jardim Belvedere, Volta Redonda - RJ, Brasil",Volta Redonda,RJ,
-23.51715,-46.57925,"Rua Nilton Coelho de Andrade, 891, Vila Maria, São Paulo - SP, 02167-010, Brasil",São Paulo,SP,02167-010
-23.56648,-46.64229,"Rua Maestro Cardim, 642, Bela Vista, São Paulo - SP, 01323-001, Brasil",São Paulo,SP,01323-001
-23.56798,-46.64595,"Harman, Rua Cincinato Braga, 340, Bela Vista, São Paulo - SP, 01333-020, Brasil",São Paulo,SP,01333-020
-22.76013,-47.2541,"Grupo Ambipar Nova Odessa, Nova Odessa - SP, 13460-000, Brasil",Nova Odessa,SP,13460-000
-23.56799,-46.70822,"Praça Vicente Rodrigues, 90, Butantã, São Paulo - SP, 05510-050, Brasil",São Paulo,SP,05510-050
-23.58388,-46.66931,"Avenida Brigadeiro Luís Antônio, 5013, Moema, São Paulo - SP, 01402-002, Brasil",São Paulo,SP,01402-002
-20.72019,-42.48131,"Araponga, MG, Brasil",Araponga,MG,36594-000
-20.48558,-43.90849,"Área 38 Oficina de Tb's, Congonhas - MG, 36415-000, Brasil",Congonhas,MG,36415-000
-22.16701,-43.14281,"Três Rios, RJ, Brasil",Três Rios,RJ,25804-020
-19.86957,-43.39525,"Escritório Central - Mina de Brucutu - Vale, São Gonçalo do Rio Abaixo - MG, 35935-000, Brasil",São Gonçalo do Rio Abaixo,MG,35935-000
-19.45057,-42.55818,"Rua Gaivota, 655, Canaã, Ipatinga - MG, 35162-499, Brasil",Ipatinga,MG,35162-499
