lat,lng,formatted_address,city,uf,cep
-25.43552,-49.3164,"PUMA, Rua Prof. Pedro V. Parigot de Souza, 600, Mossungue, Curitiba - PR, 81200-100, Brasil",Curitiba,PR,81200-100
-16.74024,-43.8704,"Avenida Donato Quintino, 125, Canelas II, Montes Claros - MG, 39400-546, Brasil",Montes Claros,MG,39400-546
-16.74325,-49.27874,"Avenida Rio Verde, 988, Jardim Nova Era, Aparecida de Goiânia - GO, 74916-260, Brasil",Aparecida de Goiânia,GO,74916-260
-22.31513,-49.05515,"Rodovia Marechal Rondon, Vila Cardia, Bauru - SP, 17030-005, Brasil",Bauru,SP,17030-005
-25.43472,-49.4131,"Rodovia do Café Governador Ney Braga, Campo Largo - PR, Brasil",Campo Largo,PR,
-21.22533,-47.837,"Alameda 1, Ribeirão Preto - SP, Brasil",Ribeirão Preto,SP,
-22.85133,-43.31104,"Avenida Vicente de Carvalho, 821, Vicente de Carvalho, Rio de Janeiro - RJ, 21220-270, Brasil",Rio de Janeiro,RJ,21220-270
-23.01753,-43.51128,"BRT Transoeste, Vargem Grande, Rio de Janeiro - RJ, 22640-100, Brasil",Rio de Janeiro,RJ,22640-100
-30.0803,-51.24716,"Tupinambá, Avenida Padre Cacique, 2893, Cristal, Porto Alegre - RS, 90810-240, Brasil",Porto Alegre,RS,90810-240
-25.44019,-49.27693,"Praça Oswaldo Cruz, Centro, Curitiba - PR, 80250-230, Brasil",Curitiba,PR,80250-230
-22.87693,-42.03234,"Rua Roma, Jardim Excelsior, Cabo Frio - RJ, Brasil",Cabo Frio,RJ,
-21.78357,-48.20079,"Primi Passi, Avenida Alberto Benassi, Jardim dos Manacás, Araraquara - SP, 14804-300, Brasil",Araraquara,SP,14804-300
-23.44048,-46.54328,"Avenida Transguarulhense, Picanço, Guarulhos - SP, 07082-055, Brasil",Guarulhos,SP,07082-055
-22.95559,-43.33994,"Soldado Mário Kozel Filho, Estrada do Engenho d'Água, Anil, Rio de Janeiro - RJ, 22765-240, Brasil",Rio de Janeiro,RJ,22765-240
-22.1169,-51.40621,"Avenida Manoel Goulart, 2622, Jardim das Rosas, Presidente Prudente - SP, 19060-000, Brasil",Presidente Prudente,SP,19060-000
-15.81596,-47.90438,"Banca Cultural 108 Sul, SQS 108, Asa Sul, Brasília - DF, 70347-040, Brasil",Brasília,DF,70347-040
-23.61485,-46.7755,"The Original Cupcake, Avenida Gov. André Franco Montoro, Taboão da Serra - SP, 06757-000, Brasil",Taboão da Serra,SP,06757-000
-25.43753,-49.26582,"Avenida Sete de Setembro, 2587, Rebouças, Curitiba - PR, 80230-010, Brasil",Curitiba,PR,80230-010
-23.5252,-46.54701,"Central PenhaEstacionamento, Rua Doutor João Ribeiro, 244, Penha, São Paulo - SP, 03634-000, Brasil",São Paulo,SP,03634-000
-15.79423,-47.88217,"Shell, ERL S, Zona Cívico Administrativa, Brasília - DF, Brasil",Brasília,DF,
-23.54177,-46.57666,"Oi, Rua Domingos Agostim, Tatuapé, São Paulo - SP, 03306-010, Brasil",São Paulo,SP,03306-010
-15.8036,-47.9031,"SGAS 905, BLOCO A, Asa Sul, Brasília - DF, 70390-050, Brasil",Brasília,DF,70390-050
-22.18619,-49.96688,"UP 2 You, Rua dos Tucunarés, 500, Marília - SP, 17507-393, Brasil",Marília,SP,17507-393
-23.68413,-46.69229,"Avenida das Nações Unidas, 22360, Socorro, São Paulo - SP, 04795-000, Brasil",São Paulo,SP,04795-000
-23.48661,-46.54987,"Rua Engenheiro Camilo Olivetti, Itapegica, Guarulhos - SP, 07042-040, Brasil",Guarulhos,SP,07042-040
-29.91495,-51.16564,"Avenida Farroupilha, Marechal Rondon, Canoas - RS, Brasil",Canoas,RS,
-23.69301,-46.55183,"Praça Samuel Sabatini, 226, Centro, São Bernardo do Campo - SP, 09750-700, Brasil",São Bernardo do Campo,SP,09750-700
-23.00022,-43.36071,"Avenida das Américas, 4567, Barra da Tijuca, Rio de Janeiro - RJ, 22790-703, Brasil",Rio de Janeiro,RJ,22790-703
-23.50373,-46.83364,"Empório Body Store, Tamboré, Barueri - SP, 06455-000, Brasil",Barueri,SP,06455-000
-22.5704,-47.40818,"Inicial Games, Rua Carlos Gomes, Centro, Limeira - SP, 13480-013, Brasil",Limeira,SP,13480-013
-19.94821,-44.02563,"Avenida General David Sarnoff, Cidade Industrial, Contagem - MG, 32210-110, Brasil",Contagem,MG,32210-110
-23.02532,-45.58243,"Okuyamtomóveis, Avenida Charles Schnneider, Barranco, Taubaté - SP, 12040-001, Brasil",Taubaté,SP,12040-001
-26.90438,-48.66024,"Rua Cônego Thomaz Fontes, 284, Centro, Itajaí - SC, 88301-100, Brasil",Itajaí,SC,88301-100
-25.55489,-54.56678,"Avenida das Cataratas, Vila Yolanda, Foz do Iguaçu - PR, 85853-000, Brasil",Foz do Iguaçu,PR,85853-000
-23.50608,-46.7179,"Empório dos Controles, Pirituba, São Paulo - SP, 05145-000, Brasil",São Paulo,SP,05145-000
-23.64933,-46.53328,"Avenida Industrial, 641, Tamanduateí 3, Santo André - SP, 09080-510, Brasil",Santo André,SP,09080-510
-23.45986,-46.30704,"Estrada de São Bento, 3304, Pium, Itaquaquecetuba - SP, 08598-100, Brasil",Itaquaquecetuba,SP,08598-100
-23.5382,-46.77195,"Cinemas São Luiz, Avenida Maria Campos, Industrial Autonomistas, Osasco - SP, Brasil",Osasco,SP,
-23.65835,-46.83292,"Rua Pataxo, 854, Pataxós, Embu das Artes - SP, Brasil",Embu das Artes,SP,
-25.44322,-49.29068,"Lenny Niemeyer, Avenida do Batel, 1868, Batel, Curitiba - PR, 80420-090, Brasil",Curitiba,PR,80420-090
-22.78676,-43.54544,"Avenida Abílio Augusto Távora, 3, Cabuçu, Nova Iguaçu - RJ, 26291-200, Brasil",Nova Iguaçu,RJ,26291-200
-27.06979,-52.62506,"Vida Ativa, Avenida Fernando Machado, Líder, Chapecó - SC, Brasil",Chapecó,SC,
-19.92823,-43.94682,"Gregory, Avenida Olegário Maciel, Santo Agostinho, Belo Horizonte - MG, 30140-085, Brasil",Belo Horizonte,MG,30140-085
-23.59593,-46.68511,"Rua Casa do Ator, 1273, Itaim Bibi, São Paulo - SP, 04546-003, Brasil",São Paulo,SP,04546-003
-19.9204,-43.92114,"Méliuz, Rua Pacífico Mascarenhas, Santa Efigênia, Belo Horizonte - MG, 30260-010, Brasil",Belo Horizonte,MG,30260-010
-22.89672,-43.12392,"Ponto De Carregamento Para Veículos Elétricos, Rua Quinze de Novembro, 8, Centro, Niterói - RJ, 24020-125, Brasil",Niterói,RJ,24020-125
-23.47991,-46.60295,"Youcom, Rua Paulo de Faria, Tucuruvi, São Paulo - SP, 02267-000, Brasil",São Paulo,SP,02267-000
-30.05018,-51.22808,"Avenida Praia de Belas, Praia de Belas, Porto Alegre - RS, 90110-000, Brasil",Porto Alegre,RS,90110-000
-21.21044,-47.81388,"Fascar, Subsetor Sul-5, Ribeirão Preto - SP, Brasil",Ribeirão Preto,SP,
-22.93131,-47.07772,"Rua Jacy Teixeira de Camargo, 412, Jardim do Lago, Campinas - SP, 13050-008, Brasil",Campinas,SP,13050-008
-22.9568,-43.17619,"Innovasjon Norge, Rua Lauro Müller, Botafogo, Rio de Janeiro - RJ, 22290-160, Brasil",Rio de Janeiro,RJ,22290-160
-25.09803,-50.15468,"Rua Ermelino de Leão, 1243, Olarias, Ponta Grossa - PR, 84035-000, Brasil",Ponta Grossa,PR,84035-000
-18.91078,-48.25977,"Droga Líder, Avenida João Naves de Ávila, Tibery, Uberlândia - MG, 38405-140, Brasil",Uberlândia,MG,38405-140
-23.57335,-46.69555,"Drogasil, Avenida Rebouças, 3970, Pinheiros, São Paulo - SP, 05401-450, Brasil",São Paulo,SP,05401-450
-30.02603,-51.16265,"adidas, Vila Ipiranga, Porto Alegre - RS, 91340-001, Brasil",Porto Alegre,RS,91340-001
-23.72241,-46.54316,"Avenida Rotary, Ferrazópolis, São Bernardo do Campo - SP, 09721-000, Brasil",São Bernardo do Campo,SP,09721-000
-19.67126,-43.99321,"MG-424, Confins - MG, 33500-000, Brasil",Confins,MG,33500-000
-22.79475,-43.3529,"Rua Maria Soares Sendas, Centro, São João de Meriti - RJ, 25581-350, Brasil",São João de Meriti,RJ,25581-350
-23.59948,-46.63675,"Montana Grill, Rua Domingos de Morais, Vila Mariana, São Paulo - SP, 04036-100, Brasil",São Paulo,SP,04036-100
-15.83329,-47.95164,"EPIA, Setores Complementares-Asa Sul, Brasília - DF, Brasil",Brasília,DF,
-22.94757,-43.18347,"Baloné, Rua Professor Alfredo Gomes, Botafogo, Rio de Janeiro - RJ, 22251-080, Brasil",Rio de Janeiro,RJ,22251-080
-23.20529,-45.90767,"RD I Motors, Avenida São João, 2200, Jardim Colinas, São José dos Campos - SP, Brasil",São José dos Campos,SP,
-19.97572,-43.94474,"Rua Sebastião Fabiano Dias, Belvedere, Belo Horizonte - MG, 30320-690, Brasil",Belo Horizonte,MG,30320-690
-29.66993,-51.14362,"Rua Rincão, 733, Rincão, Novo Hamburgo - RS, 93608-610, Brasil",Novo Hamburgo,RS,93608-610
-17.77093,-50.92327,"Rua Só O Amor Constrói, 109, Eldorado Prol, Rio Verde - GO, 75904-433, Brasil",Rio Verde,GO,75904-433
-28.26295,-52.40867,"Rua Coronel Chicuta, 355, Centro, Passo Fundo - RS, 99010-051, Brasil",Passo Fundo,RS,99010-051
-23.96721,-46.33461,"Avenida Marechal Floriano Peixoto, 52, Gonzaga, Santos - SP, 11060-300, Brasil",Santos,SP,11060-300
-19.88071,-44.03812,"Ville Ótica, Avenida Severino Ballesteros Rodrigues, Cabral, Contagem - MG, 32146-003, Brasil",Contagem,MG,32146-003
-23.56473,-46.65338,"Te&Maki, Avenida Paulista, 1159, Jardim Paulista, São Paulo - SP, 01310-100, Brasil",São Paulo,SP,01310-100
-25.53316,-54.57545,"SUBWAY, Avenida Costa e Silva, 185, Jardim Polo Centro, Foz do Iguaçu - PR, 85863-000, Brasil",Foz do Iguaçu,PR,85863-000
-30.08625,-51.2476,"Avenida Diário de Notícias, 500, Cristal, Porto Alegre - RS, 91900-420, Brasil",Porto Alegre,RS,91900-420
-27.61561,-48.64524,"Rua Orlando Odilio Koerich, Distrito Industrial, São José - SC, 86905-000, Brasil",São José,SC,86905-000
-28.68766,-49.33538,"Avenida Jorge Elias de Lucca, Nossa Senhora da Salete, Criciúma - SC, 88813-390, Brasil",Criciúma,SC,88813-390
-23.97722,-46.30976,"Via de Fato, Rua Guaiaó, Aparecida, Santos - SP, 11035-260, Brasil",Santos,SP,11035-260
-25.4778,-49.29177,"Maz Brasil, Avenida Presidente Kennedy, Portão, Curitiba - PR, 80610-010, Brasil",Curitiba,PR,80610-010
-29.17693,-51.21921,"Siberian, Sanvitto, Caxias do Sul - RS, 95112-360, Brasil",Caxias do Sul,RS,95112-360
-23.5427,-46.65808,"Avenida Higienópolis, 683, Consolação, São Paulo - SP, 01238-000, Brasil",São Paulo,SP,01238-000
-22.7479,-47.36729,"C&A, Avenida Santa Bárbara, Vila Mollon IV, Santa Bárbara d'Oeste - SP, 13456-625, Brasil",Santa Bárbara d'Oeste,SP,13456-625
-23.64837,-46.75757,"Estrada do Campo Limpo, 414, Jardim São Luís, São Paulo - SP, 05777-000, Brasil",São Paulo,SP,05777-000
-27.58355,-48.61437,"Rua Gerôncio Thives, 862, Campinas, São José - SC, 88117-290, Brasil",São José,SC,88117-290
-21.75521,-41.34861,"Le Jardin, Parque dos Rodoviários, Campos dos Goytacazes - RJ, Brasil",Campos dos Goytacazes,RJ,
-21.21922,-50.46571,"Rua Imperatriz Leopoldina, 271, Jardim Guanabara, Araçatuba - SP, 16026-220, Brasil",Araçatuba,SP,16026-220
