lat,lng,formatted_address,city,uf,cep
-23.6007,-46.6781,"Rua Gomes de Carvalho, 411, Itaim Bibi, São Paulo - SP, 04547-001, Brasil",São Paulo,SP,04547-001
-20.56742,-47.40785,"Avenida Pedro Henrique Cintra, 1800, Franca - SP, 14403-187, Brasil",Franca,SP,14403-187
-23.5292,-46.73709,"Rua Hassib Mofarrej, 382, Vila Leopoldina, São Paulo - SP, 05312-000, Brasil",São Paulo,SP,05312-000
-27.09615,-52.61905,"Inova Móveis, Avenida Fernando Machado, 1029D, Centro, Chapecó - SC, 89802-112, Brasil",Chapecó,SC,89802-112
-23.42419,-51.89926,"BMW, Rua Rubens Sebastião Marin, 1626, Zona 36, Maringá - PR, 87045-020, Brasil",Maringá,PR,87045-020
-31.76127,-52.31852,"Sicredi, Avenida Ferreira Viana, 1526, Areal, Pelotas - RS, 96085-000, Brasil",Pelotas,RS,96085-000
-23.54527,-46.5694,"Rua Serra de Bragança, 606, Tatuapé, São Paulo - SP, 03318-000, Brasil",São Paulo,SP,03318-000
-30.04131,-51.17369,"Avenida Senador Tarso Dutra, 295, Petrópolis, Porto Alegre - RS, 90690-140, Brasil",Porto Alegre,RS,90690-140
-23.55086,-46.56746,"Rua Itapeti, 421, Tatuapé, São Paulo - SP, 03324-002, Brasil",São Paulo,SP,03324-002
-27.59508,-48.57274,"Ponto De Carregamento Para Veículos Elétricos, Rua Visconde de Cairú, 176, Estreito, Florianópolis - SC, 88075-020, Brasil",Florianópolis,SC,88075-020
-22.88619,-47.06237,"Rua Buarque de Macedo, 209, Jardim Brasil, Campinas - SP, 13073-010, Brasil",Campinas,SP,13073-010
-19.96074,-43.95711,"Ponto De Carregamento Para Veículos Elétricos, Avenida Raja Gabaglia, 3055, São Bento, Belo Horizonte - MG, 30350-550, Brasil",Belo Horizonte,MG,30350-550
-21.77792,-43.34612,"Rua Dom Silvério, 65, Alto dos Passos, Juiz de Fora - MG, 36026-450, Brasil",Juiz de Fora,MG,36026-450
-25.43029,-49.32342,"In Pilates Barigui, Santo Inácio, Curitiba - PR, 82305-100, Brasil",Curitiba,PR,82305-100
-26.32391,-48.86837,"BMW, Rua Botuverá, 508, São Marcos, Joinville - SC, Brasil",Joinville,SC,
-29.71043,-51.14661,"BYD, Rua Ignácio Treis, 495, Ideal, Novo Hamburgo - RS, 93334-365, Brasil",Novo Hamburgo,RS,93334-365
-23.58271,-46.65125,"Avenida Vinte e Três de Maio, 3095, Moema, São Paulo - SP, 04008-090, Brasil",São Paulo,SP,04008-090
-23.49255,-46.84265,"Alameda Amazonas, 838, Alphaville, Barueri - SP, 06454-070, Brasil",Barueri,SP,06454-070
