lat,lng,formatted_address,city,uf,cep
-21.24903,-47.79829,"Avenida Heráclito Fontoura Sobral Pinto, Ribeirão Preto - SP, 14022-020, Brasil",Ribeirão Preto,SP,14022-020
-23.32483,-46.5877,"Rua do Barreiro, 549, Mairiporã - SP, 07629-322, Brasil",Mairiporã,SP,07629-322
-22.44658,-45.48782,"Avenida Nossa Senhora da Piedade, 94, Piedade, Itajubá - MG, 37504-593, Brasil",Itajubá,MG,37504-593
-23.6192,-52.22076,"Rua Pio X II, 580, Ivatuba - PR, 87130-000, Brasil",Ivatuba,PR,87130-000
-22.99493,-43.54873,"Rua José Cota, 60, Ilha de Guaratiba, Rio de Janeiro - RJ, 23020-590, Brasil",Rio de Janeiro,RJ,23020-590
-28.94346,-49.42699,"Rodovia ARA-227, Araranguá - SC, 88900-000, Brasil",Araranguá,SC,88900-000
-22.53166,-44.77853,"Rua José A. Moreira, 95, Queluz - SP, 12800-000, Brasil",Queluz,SP,12800-000
-23.41105,-46.3708,"Quiosque 5, Arujá - SP, 07400-000, Brasil",Arujá,SP,07400-000
-22.89737,-43.03451,"Rua Chile, 82, Vila Progresso, Niterói - RJ, 24322-000, Brasil",Niterói,RJ,24322-000
-21.12935,-42.95001,"Rua Fioravante Druda, 256, Ubá - MG, 36500-000, Brasil",Ubá,MG,36500-000
-22.38249,-43.11805,"Estrada das Arcas Próximo ao 2525, Rua Manoel Raposo da Silva, Itaipava, Petrópolis - RJ, 25745-430, Brasil",Petrópolis,RJ,25745-430
-22.92251,-43.26752,"Rua Itabaiana, 303, Grajaú, Rio de Janeiro - RJ, 20561-050, Brasil",Rio de Janeiro,RJ,20561-050
-25.24689,-53.98086,"Emeief Dom Pedro II, Rua Manoel Ribas, 356, Matelândia - PR, 85887-000, Brasil",Matelândia,PR,85887-000
-27.10219,-52.67006,"Rua Palmitos, 666, Efapi, Chapecó - SC, 89809-600, Brasil",Chapecó,SC,89809-600
-22.07485,-47.8377,"Rua Durval de Oliveira, São Carlos - SP, 13571-783, Brasil",São Carlos,SP,13571-783
-26.22172,-48.88289,"Estrada da Ilha, 4830, Joinville - SC, 89239-250, Brasil",Joinville,SC,89239-250
-22.064,-42.06017,"Rua João Guimarães, 371, Centro, Trajano de Moraes - RJ, 28750-000, Brasil",Trajano de Moraes,RJ,28750-000
-30.13245,-51.17137,"Estrada Marechal Marciano Ávila, 24, Restinga, Porto Alegre - RS, 91787-340, Brasil",Porto Alegre,RS,91787-340
-15.94549,-41.11525,"Pedra Azul, MG, Brasil",Pedra Azul,MG,39970-000
-21.30437,-46.69813,"Rua Joaquim C. de Rezende, Guaxupé - MG, 37800-000, Brasil",Guaxupé,MG,37800-000
-18.84263,-41.95423,"Avenida Minas Gerais, 2176, Maria Eugênia, Governador Valadares - MG, 35057-760, Brasil",Governador Valadares,MG,35057-760
-23.77869,-46.74308,"Avenida do Jaceguava, 2961, Parelheiros, São Paulo - SP, 04870-425, Brasil",São Paulo,SP,04870-425
-16.75391,-48.51746,"Rua Francisco C. Sobrinho, Vianópolis - GO, 75265-000, Brasil",Vianópolis,GO,75265-000
-30.13223,-51.33984,"Avenida X, 289, Moradas da Colina, Guaíba - RS, 92500-000, Brasil",Guaíba,RS,92500-000
-20.02687,-43.93394,"Estrada S. S. das Águas Claras, São Sebastião das Águas Claras, Nova Lima - MG, 34000-000, Brasil",Nova Lima,MG,34000-000
-22.02738,-45.83586,"LMG-882, 202, Silvianópolis - MG, 37560-000, Brasil",Silvianópolis,MG,37560-000
-25.77149,-53.53462,"Rua Arnaldo Busato, 3481, Realeza - PR, 85770-000, Brasil",Realeza,PR,85770-000
-23.73467,-52.859,"Rua Sete de Setembro, 1204, Tapejara - PR, 87430-000, Brasil",Tapejara,PR,87430-000
-23.87869,-47.99401,"Pastelaria Machado, Praça Antônio Ferreira Leme, São Miguel Arcanjo - SP, 18230-000, Brasil",São Miguel Arcanjo,SP,18230-000
-19.85585,-43.94851,"Praça Manoel dos Reis Filho, 100, Jaraguá, Belo Horizonte - MG, 31270-870, Brasil",Belo Horizonte,MG,31270-870
-20.2662,-43.76958,"Rodovia dos Inconfidentes, Novo Itabirito, Itabirito - MG, 35450-000, Brasil",Itabirito,MG,35450-000
-24.54032,-52.98286,"Avenida João Medeiros, 2009, Ubiratã - PR, 85440-000, Brasil",Ubiratã,PR,85440-000
