name,storechain,place_id,formatted_address,city,admin_area,uf,country,cep,lat,lng,categories,types,rating,source,metadata,POI,Estado,Latitude,Longitude,Radius Distance
,,,"Zletric, Avenida Wladimir Meirelles Ferreira, 1660, Subsetor Sul-4, Ribeirão Preto - SP, 14021-683, Brasil",Ribeirão Preto,,SP,,14021-683,-21.21044,-47.80211,,,,,,Concessionárias,SP,-21.2104445,-47.8021102,0.3
,,,"Rua Coronel Marcos Rovaris, 281, Centro, Criciúma - SC, 88801-100, Brasil",Criciúma,,SC,,88801-100,-28.67809,-49.36575,,,,,,Concessionárias,Demais Praças,-28.6779593,-49.3656157,0.3
,,,"Rua José Szakall, 27, Barra Funda, São Paulo - SP, 01140-120, Brasil",São Paulo,,SP,,01140-120,-23.51825,-46.66755,,,,,,Concessionárias,SP,-23.5182331,-46.66753809999999,0.3
,,,"Avenida Claricinda Alves de Rezende, 197, Uberaba - MG, 38010-000, Brasil",Uberaba,,MG,,38010-000,-19.75353,-47.91496,,,,,,Concessionárias,Demais Praças,-19.7535164,-47.9151046,0.3
,,,"Internacional de Brasília-Terminal 2, Setor de Habitações Individuais Sul, Lago Sul - DF, 71608-900, Brasil",Lago Sul,,DF,,71608-900,-15.86966,-47.93106,,,,,,Concessionárias,Demais Praças,-15.8697514,-47.9309928,0.3
,,,"Avenida Waldemar Haddad, 801, Quinta do Golfe, São José do Rio Preto - SP, 15093-300, Brasil",São José do Rio Preto,,SP,,15093-300,-20.85383,-49.41507,,,,,,Concessionárias,SP,-20.8541831,-49.4151173,0.3
,,,"Avenida Tiradentes, Ciclo II, Londrina - PR, 86072-000, Brasil",Londrina,,PR,,86072-000,-23.29042,-51.21987,,,,,,Concessionárias,Demais Praças,-23.290551,-51.2199416,0.3
,,,"BMW, Avenida Deusdedith Salgado, 4900, Salvaterra, Juiz de Fora - MG, 36033-007, Brasil",Juiz de Fora,,MG,,36033-007,-21.80743,-43.3767,,,,,,Concessionárias,Demais Praças,-21.8073716,-43.3766662,0.3
,,,"Avenida Doutor Cássio Paschoal Padovani, 1314, Morumbi, Piracicaba - SP, 13420-360, Brasil",Piracicaba,,SP,,13420-360,-22.73028,-47.61467,,,,,,Concessionárias,SP,-22.7302405,-47.6146592,0.3
,,,"Avenida Brasil Oeste, 3592, Boqueirão, Passo Fundo - RS, 99025-002, Brasil",Passo Fundo,,RS,,99025-002,-28.26767,-52.43764,,,,,,Concessionárias,Demais Praças,-28.2677535,-52.4375915,0.3
