Latitude,Longitude,Radius Distance,Estado,POI
-23.5508612,-46.5674626,0.3,SP,Concessionárias
-27.595083,-48.5727371,0.3,Demais Praças,Concessionárias
-22.8861922,-47.0623702,0.3,SP,Concessionárias
-19.9607377,-43.9571141,0.3,Demais Praças,Concessionárias
-21.7779239,-43.3461209,0.3,Demais Praças,Concessionárias
-25.4302851,-49.3234191,0.3,Demais Praças,Concessionárias
-26.3239067,-48.868371,0.3,Demais Praças,Concessionárias
-29.7104262,-51.14661479999999,0.3,Demais Praças,Concessionárias
-23.5827086,-46.6512483,0.3,SP,Concessionárias
-23.4925521,-46.8426524,0.3,SP,Concessionárias
-30.0669795,-51.2123826,0.3,Demais Praças,Concessionárias
-23.536457,-46.674658,0.3,SP,Concessionárias
-16.6981713,-49.2313845,0.3,Demais Praças,Concessionárias
-26.9359216,-49.06737589999999,0.3,Demais Praças,Concessionárias
-29.1527406,-51.157169,0.3,Demais Praças,Concessionárias
-23.4240135,-51.9548093,0.3,Demais Praças,Concessionárias
-23.4238627,-51.9549482,0.3,Demais Praças,Concessionárias
-23.0001664,-43.3316538,0.3,Demais Praças,Concessionárias
-18.9267256,-48.2591439,0.3,Demais Praças,Concessionárias
-22.7932589,-43.3666157,0.3,Demais Praças,Concessionárias
-16.7258124,-43.880641,0.3,Demais Praças,Concessionárias
-22.2874495,-43.91497589999999,0.3,Demais Praças,Concessionárias
-22.9564684,-43.19107890000001,0.3,Demais Praças,Concessionárias
-23.5667477,-46.6518414,0.3,SP,Concessionárias
-23.472368,-47.423595,0.3,SP,Concessionárias
-30.0009864,-51.3080583,0.3,Demais Praças,Concessionárias
-26.8672576,-49.1033134,0.3,Demais Praças,Concessionárias
-19.9656623,-43.9613969,0.3,Demais Praças,Concessionárias
-30.0116452,-51.14798889999999,0.3,Demais Praças,Concessionárias
-15.8044474,-47.9699199,0.3,Demais Praças,Concessionárias
-27.5920797,-48.5744726,0.3,Demais Praças,Concessionárias
-28.2693243,-52.4405805,0.3,Demais Praças,Concessionárias
-25.4533569,-49.262832,0.3,Demais Praças,Concessionárias
-22.794576,-43.366505,0.3,Demais Praças,Concessionárias
-23.5481686,-51.4502642,0.3,Demais Praças,Concessionárias
-22.8855311,-47.06203180000001,0.3,SP,Concessionárias
-23.6418361,-46.7240794,0.3,SP,Concessionárias
-23.5608932,-46.7052949,0.3,SP,Concessionárias
-22.899431,-47.054878,0.3,SP,Concessionárias
-23.5236917,-46.6934864,0.3,SP,Concessionárias
-26.9124506,-49.0519891,0.3,Demais Praças,Concessionárias
-23.476178,-47.4270013,0.3,SP,Concessionárias
-24.9660582,-53.4811048,0.3,Demais Praças,Concessionárias
-23.5976231,-46.62785830000001,0.3,SP,Concessionárias
-23.9474569,-46.3238704,0.3,SP,Concessionárias
-15.8700526,-47.9625306,0.3,Demais Praças,Concessionárias
-23.9516518,-46.3225214,0.3,SP,Concessionárias
-21.2100291,-47.8015749,0.3,SP,Concessionárias
-23.4919768,-46.8426905,0.3,SP,Concessionárias
-23.5970482,-46.6880274,0.3,SP,Concessionárias
-23.6355375,-46.7185654,0.3,SP,Concessionárias
-22.904732,-47.0465069,0.3,SP,Concessionárias
-21.210241,-47.8011689,0.3,SP,Concessionárias
-23.0011249,-43.4157036,0.3,Demais Praças,Concessionárias
-25.4477094,-49.26559109999999,0.3,Demais Praças,Concessionárias
-27.5776766,-48.59254079999999,0.3,Demais Praças,Concessionárias
-30.0032169,-51.1862362,0.3,Demais Praças,Concessionárias
-23.422974,-51.911478,0.3,Demais Praças,Concessionárias
-26.9219758,-49.063246,0.3,Demais Praças,Concessionárias
-23.5931567,-46.6774487,0.3,SP,Concessionárias
-29.42881179999999,-52.0157393,0.3,Demais Praças,Concessionárias
-30.0585407,-51.2167956,0.3,Demais Praças,Concessionárias
-29.1687465,-51.2140687,0.3,Demais Praças,Concessionárias
-29.1445132,-51.2271166,0.3,Demais Praças,Concessionárias
-28.2714918,-52.3864105,0.3,Demais Praças,Concessionárias
-28.214291,-52.3578681,0.3,Demais Praças,Concessionárias
-27.177809,-49.593926,0.3,Demais Praças,Concessionárias
-26.8681668,-49.1055754,0.3,Demais Praças,Concessionárias
-25.3856443,-51.5142874,0.3,Demais Praças,Concessionárias
-25.4394417,-49.3011287,0.3,Demais Praças,Concessionárias
-31.7428253,-52.3822142,0.3,Demais Praças,Concessionárias
-31.68241029999999,-52.3441925,0.3,Demais Praças,Concessionárias
-27.5793199,-48.5885865,0.3,Demais Praças,Concessionárias
-26.9960669,-48.6455576,0.3,Demais Praças,Concessionárias
-24.953555,-53.4209615,0.3,Demais Praças,Concessionárias
-23.7789994,-53.0966527,0.3,Demais Praças,Concessionárias
-23.5987583,-46.6782143,0.3,SP,Concessionárias
-23.5014729,-47.47909310000001,0.3,SP,Concessionárias
-22.884564,-47.0416581,0.3,SP,Concessionárias
-23.7458326,-46.55491809999999,0.3,SP,Concessionárias
-23.9280205,-46.38714830000001,0.3,SP,Concessionárias
-23.0097059,-43.30319,0.3,Demais Praças,Concessionárias
-22.9450708,-43.1853139,0.3,Demais Praças,Concessionárias
-23.0099808,-43.3030292,0.3,Demais Praças,Concessionárias
-26.948422,-48.68300900000001,0.3,Demais Praças,Concessionárias
-27.8129022,-50.3696585,0.3,Demais Praças,Concessionárias
-26.999457,-51.1020969,0.3,Demais Praças,Concessionárias
-18.1830335,-49.2906189,0.3,Demais Praças,Concessionárias
-27.0016017,-52.6497434,0.3,Demais Praças,Concessionárias
-25.5103715,-49.3411864,0.3,Demais Praças,Concessionárias
-26.8920888,-49.0716745,0.3,Demais Praças,Concessionárias
-26.8681668,-49.1055754,0.3,Demais Praças,Concessionárias
-25.4546924,-49.290211,0.3,Demais Praças,Concessionárias
-23.4223934,-51.9088624,0.3,Demais Praças,Concessionárias
-23.2995063,-51.1884987,0.3,Demais Praças,Concessionárias
-23.6366863,-46.5428913,0.3,SP,Concessionárias
-23.5440794,-46.5901173,0.3,SP,Concessionárias
-23.6033539,-46.6251287,0.3,SP,Concessionárias
-18.3660764,-49.2139568,0.3,Demais Praças,Concessionárias
-28.4667826,-49.0069441,0.3,Demais Praças,Concessionárias
-26.9902444,-48.63229690000001,0.3,Demais Praças,Concessionárias
-23.6008039,-46.6945839,0.3,SP,Concessionárias
-23.5504421,-51.4640073,0.3,Demais Praças,Concessionárias
-22.950559,-49.8775461,0.3,SP,Concessionárias
-22.7385375,-48.608203,0.3,SP,Concessionárias
-23.5778772,-46.68126179999999,0.3,SP,Concessionárias
-23.6389108,-46.7209633,0.3,SP,Concessionárias
-23.498795,-46.8589365,0.3,SP,Concessionárias
-23.5232064,-46.6576357,0.3,SP,Concessionárias
-23.1823263,-46.8784065,0.3,SP,Concessionárias
-23.5005626,-46.8546921,0.3,SP,Concessionárias
-23.4238203,-46.392093,0.3,SP,Concessionárias
-23.5292607,-46.2024334,0.3,SP,Concessionárias
-22.620711,-47.3463438,0.3,SP,Concessionárias
-23.2009728,-45.9095951,0.3,SP,Concessionárias
-22.5785855,-47.367335,0.3,SP,Concessionárias
-23.1067863,-45.6957989,0.3,SP,Concessionárias
-22.4226043,-45.4702923,0.3,Demais Praças,Concessionárias
-21.1941041,-47.7758571,0.3,SP,Concessionárias
-23.7939991,-45.39991879999999,0.3,SP,Concessionárias
-23.0097915,-43.3064938,0.3,Demais Praças,Concessionárias
-22.7518424,-43.2869075,0.3,Demais Praças,Concessionárias
-22.9202671,-43.1700177,0.3,Demais Praças,Concessionárias
-19.959072,-43.956865,0.3,Demais Praças,Concessionárias
-19.960202,-44.168467,0.3,Demais Praças,Concessionárias
-21.7384854,-41.329365,0.3,Demais Praças,Concessionárias
-18.9290636,-48.2438528,0.3,Demais Praças,Concessionárias
-18.863346,-48.2553644,0.3,Demais Praças,Concessionárias
-21.2142667,-47.7594419,0.3,SP,Concessionárias
-18.6396237,-46.49110580000001,0.3,Demais Praças,Concessionárias
-18.9514588,-48.2792618,0.3,Demais Praças,Concessionárias
-21.7702899,-48.2411053,0.3,SP,Concessionárias
-20.8575933,-49.4114607,0.3,SP,Concessionárias
-20.890814,-49.431192,0.3,SP,Concessionárias
-16.7066912,-49.2373961,0.3,Demais Praças,Concessionárias
-16.8275187,-49.2423324,0.3,Demais Praças,Concessionárias
-16.6292512,-49.2051553,0.3,Demais Praças,Concessionárias
-21.2567321,-50.4191083,0.3,SP,Concessionárias
-15.8033237,-47.9680259,0.3,Demais Praças,Concessionárias
-22.2662533,-51.3019148,0.3,SP,Concessionárias
-23.2470134,-51.2518433,0.3,Demais Praças,Concessionárias
-24.0898979,-52.3804855,0.3,Demais Praças,Concessionárias
-23.7785948,-53.2869387,0.3,Demais Praças,Concessionárias
-24.9724675,-53.3948252,0.3,Demais Praças,Concessionárias
-24.9668033,-53.4238344,0.3,Demais Praças,Concessionárias
-23.4166771,-51.9858332,0.3,Demais Praças,Concessionárias
-22.7711416,-53.2683507,0.3,Demais Praças,Concessionárias
-26.9480905,-48.6840577,0.3,Demais Praças,Concessionárias
-27.1557058,-48.5793427,0.3,Demais Praças,Concessionárias
-27.4350337,-48.4798594,0.3,Demais Praças,Concessionárias
-27.006318,-48.6245185,0.3,Demais Praças,Concessionárias
-27.4342747,-48.478638,0.3,Demais Praças,Concessionárias
-15.8057269,-47.95080859999999,0.3,Demais Praças,Concessionárias
-16.699088,-49.2684625,0.3,Demais Praças,Concessionárias
-19.9637,-43.96295,0.3,Demais Praças,Concessionárias
-18.951453,-48.2772832,0.3,Demais Praças,Concessionárias
-25.4303474,-49.324071,0.3,Demais Praças,Concessionárias
-23.2910805,-51.2212907,0.3,Demais Praças,Concessionárias
