linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
31;;;endereco;Avenida Claricinda Alves de Rezende, 197, Uberaba - MG, 38010-000, Brasil;Avenida Claricinda Alves de Rezende 197 Uberaba MG 38010000 Brazil;Uberaba;MG;38010000;-19.75353;-47.91496;-19.75353;-47.91496;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
32;;;endereco;Internacional de Brasília-Terminal 2, Setor de Habitações Individuais Sul, Lago Sul - DF, 71608-900, Brasil;Internacional de Brasilia Terminal 2 Lago Sul DF 71608900 Brazil;Lago Sul;DF;71608900;-15.86966;-47.93106;-15.86966;-47.93106;Setor de Habitações Individuais Sul;;
33;;;endereco;Avenida Waldemar Haddad, 801, Quinta do Golfe, São José do Rio Preto - SP, 15093-300, Brasil;Avenida Waldemar Haddad 801 Sao Jose do Rio Preto SP 15093300 Brazil;São José do Rio Preto;SP;15093300;-20.85383;-49.41507;-20.85383;-49.41507;Quinta do Golfe;;
34;;;endereco;Avenida Tiradentes, Ciclo II, Londrina - PR, 86072-000, Brasil;Avenida Tiradentes Ciclo II Londrina PR 86072000 Brazil;Londrina;PR;86072000;-23.29042;-51.21987;-23.29042;-51.21987;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
35;;;endereco;BMW, Avenida Deusdedith Salgado, 4900, Salvaterra, Juiz de Fora - MG, 36033-007, Brasil;Avenida Deusdedith Salgado 4900 Juiz de Fora MG 36033007 Brazil;Juiz de Fora;MG;36033007;-21.80743;-43.3767;-21.80743;-43.3767;Salvaterra;;
36;;;endereco;Avenida Doutor Cássio Paschoal Padovani, 1314, Morumbi, Piracicaba - SP, 13420-360, Brasil;Avenida Doutor Cassio Paschoal Padovani 1314 Piracicaba SP 13420360 Brazil;Piracicaba;SP;13420360;-22.73028;-47.61467;-22.73028;-47.61467;Morumbi;;
37;;;endereco;Avenida Brasil Oeste, 3592, Boqueirão, Passo Fundo - RS, 99025-002, Brasil;Avenida Brasil Oeste 3592 Passo Fundo RS 99025002 Brazil;Passo Fundo;RS;99025002;-28.26767;-52.43764;-28.26767;-52.43764;Boqueirão;;
38;;;endereco;Rua Colômbia, 810, Jardim Paulista, São Paulo - SP, 01438-001, Brasil;Rua Colombia 810 Sao Paulo SP 01438001 Brazil;São Paulo;SP;01438001;-23.57179;-46.67473;-23.57179;-46.67473;Jardim Paulista;;
39;;;endereco;Terminal Asa Sul, Asa Sul, Brasília - DF, 70610-200, Brasil;Terminal Asa Sul Asa Sul Brasilia DF 70610200 Brazil;Brasília;DF;70610200;-15.8361;-47.93314;-15.8361;-47.93314;;ALTO;sem numero de porta
40;;;endereco;Feirão do Automóvel de Jundiaí, Avenida Prefeito Luiz Latorre, Chácara Urbana, Jundiaí - SP, 13209-430, Brasil;Avenida Prefeito Luiz Latorre Chacara Urbana Jundiai SP 13209430 Brazil;Jundiaí;SP;13209430;-23.17662;-46.90528;-23.17662;-46.90528;;ALTO;sem numero de porta
41;;;endereco;DIMAS (BALNEARIO CAMBURIU), Avenida do Estado, 4770, Ariribá, Balneário Camboriú - SC, 88338-630, Brasil;Avenida do Estado 4770 Balneario Camboriu SC 88338630 Brazil;Balneário Camboriú;SC;88338630;-26.96095;-48.64049;-26.96095;-48.64049;Ariribá;;
42;;;endereco;Rua Gomes de Carvalho, 411, Itaim Bibi, São Paulo - SP, 04547-001, Brasil;Rua Gomes de Carvalho 411 Sao Paulo SP 04547001 Brazil;São Paulo;SP;04547001;-23.60057;-46.67804;-23.60057;-46.67804;Itaim Bibi;;
43;;;endereco;Avenida Pedro Henrique Cintra, 1800, Franca - SP, 14403-187, Brasil;Avenida Pedro Henrique Cintra 1800 Franca SP 14403187 Brazil;Franca;SP;14403187;-20.56721;-47.40771;-20.56721;-47.40771;;;
44;;;endereco;Rua Hassib Mofarrej, 382, Vila Leopoldina, São Paulo - SP, 05312-000, Brasil;Rua Hassib Mofarrej 382 Sao Paulo SP 05312000 Brazil;São Paulo;SP;05312000;-23.52948;-46.7371;-23.52948;-46.7371;Vila Leopoldina;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
45;;;endereco;Inova Móveis, Avenida Fernando Machado, 1029D, Centro, Chapecó - SC, 89802-112, Brasil;Avenida Fernando Machado 1029D Chapeco SC 89802112 Brazil;Chapecó;SC;89802112;-27.0961;-52.61897;-27.0961;-52.61897;Centro;;
46;;;endereco;BMW, Rua Rubens Sebastião Marin, 1626, Zona 36, Maringá - PR, 87045-020, Brasil;Rua Rubens Sebastiao Marin 1626 Maringa PR 87045020 Brazil;Maringá;PR;87045020;-23.4243;-51.89921;-23.4243;-51.89921;Zona 36;;
47;;;endereco;Sicredi, Avenida Ferreira Viana, 1526, Areal, Pelotas - RS, 96085-000, Brasil;Avenida Ferreira Viana 1526 Pelotas RS 96085000 Brazil;Pelotas;RS;96085000;-31.76142;-52.31866;-31.76142;-52.31866;Areal;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
48;;;endereco;Rua Serra de Bragança, 606, Tatuapé, São Paulo - SP, 03318-000, Brasil;Rua Serra de Braganca 606 Sao Paulo SP 03318000 Brazil;São Paulo;SP;03318000;-23.54534;-46.56937;-23.54534;-46.56937;Tatuapé;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
49;;;endereco;Avenida Senador Tarso Dutra, 295, Petrópolis, Porto Alegre - RS, 90690-140, Brasil;Avenida Senador Tarso Dutra 295 Porto Alegre RS 90690140 Brazil;Porto Alegre;RS;90690140;-30.04137;-51.1736;-30.04137;-51.1736;Petrópolis;;
50;;;endereco;Rua Itapeti, 421, Tatuapé, São Paulo - SP, 03324-002, Brasil;Rua Itapeti 421 Sao Paulo SP 03324002 Brazil;São Paulo;SP;03324002;-23.5509;-46.5673;-23.5509;-46.5673;Tatuapé;;
51;;;endereco;Ponto De Carregamento Para Veículos Elétricos, Rua Visconde de Cairú, 176, Estreito, Florianópolis - SC, 88075-020, Brasil;Rua Visconde de Cairu 176 Florianopolis SC 88075020 Brazil;Florianópolis;SC;88075020;-27.59511;-48.57277;-27.59511;-48.57277;Estreito;;
52;;;endereco;Rua Buarque de Macedo, 209, Jardim Brasil, Campinas - SP, 13073-010, Brasil;Rua Buarque de Macedo 209 Campinas SP 13073010 Brazil;Campinas;SP;13073010;-22.88649;-47.06244;-22.88649;-47.06244;Jardim Brasil;;
53;;;endereco;Ponto De Carregamento Para Veículos Elétricos, Avenida Raja Gabaglia, 3055, São Bento, Belo Horizonte - MG, 30350-550, Brasil;Avenida Raja Gabaglia 3055 Belo Horizonte MG 30350550 Brazil;Belo Horizonte;MG;30350550;-19.96081;-43.95713;-19.96081;-43.95713;São Bento;;
54;;;endereco;Rua Dom Silvério, 65, Alto dos Passos, Juiz de Fora - MG, 36026-450, Brasil;Rua Dom Silverio 65 Juiz de Fora MG 36026450 Brazil;Juiz de Fora;MG;36026450;-21.77795;-43.34624;-21.77795;-43.34624;Alto dos Passos;;
55;;;endereco;In Pilates Barigui, Santo Inácio, Curitiba - PR, 82305-100, Brasil;In Pilates Barigui Santo Inacio Curitiba PR 82305100 Brazil;Curitiba;PR;82305100;-25.43029;-49.32323;-25.43029;-49.32323;;ALTO;sem numero de porta
56;;;endereco;BMW, Rua Botuverá, 508, São Marcos, Joinville - SC, Brasil;Rua Botuvera 508 Joinville SC Brazil;Joinville;SC;;-26.32385;-48.86838;-26.32385;-48.86838;São Marcos;;
57;;;endereco;BYD, Rua Ignácio Treis, 495, Ideal, Novo Hamburgo - RS, 93334-365, Brasil;Rua Ignacio Treis 495 Novo Hamburgo RS 93334365 Brazil;Novo Hamburgo;RS;93334365;-29.71042;-51.14681;-29.71042;-51.14681;Ideal;;
58;;;endereco;Avenida Vinte e Três de Maio, 3095, Moema, São Paulo - SP, 04008-090, Brasil;Avenida Vinte e Tres de Maio 3095 Sao Paulo SP 04008090 Brazil;São Paulo;SP;04008090;-23.58265;-46.65136;-23.58265;-46.65136;Moema;;
59;;;endereco;Alameda Amazonas, 838, Alphaville, Barueri - SP, 06454-070, Brasil;Alameda Amazonas 838 Barueri SP 06454070 Brazil;Barueri;SP;06454070;-23.49258;-46.84274;-23.49258;-46.84274;Alphaville;;
60;;;endereco;Avenida Doutor Carlos Barbosa, 1272, Medianeira, Porto Alegre - RS, 90880-001, Brasil;Avenida Doutor Carlos Barbosa 1272 Porto Alegre RS 90880001 Brazil;Porto Alegre;RS;90880001;-30.06698;-51.21247;-30.06698;-51.21247;Medianeira;;
61;;;endereco;Rua Minerva, 535, Perdizes, São Paulo - SP, 05007-032, Brasil;Rua Minerva 535 Sao Paulo SP 05007032 Brazil;São Paulo;SP;05007032;-23.53641;-46.67468;-23.53641;-46.67468;Perdizes;;
62;;;endereco;BR-153, Autódromo, Goiânia - GO, Brasil;BR 153 Autodromo Goiania GO Brazil;Goiânia;GO;;-16.69817;-49.23139;-16.69817;-49.23139;;ALTO;sem numero de porta
63;;;endereco;Alameda Doutor Celso Leon Salles, 26, Vila Formosa, Blumenau - SC, 89015-440, Brasil;Alameda Doutor Celso Leon Salles 26 Blumenau SC 89015440 Brazil;Blumenau;SC;89015440;-26.93579;-49.06729;-26.93579;-49.06729;Vila Formosa;;
64;;;endereco;Panvel, Avenida Ruben Bento Alves, 785, Sagrada Família, Caxias do Sul - RS, 95012-500, Brasil;Avenida Ruben Bento Alves 785 Caxias do Sul RS 95012500 Brazil;Caxias do Sul;RS;95012500;-29.15255;-51.1573;-29.15255;-51.1573;Sagrada Família;;
65;;;endereco;Rua Santa Joaquina de Vedruna, 2686, Zona 5, Maringá - PR, 87015-150, Brasil;Rua Santa Joaquina de Vedruna 2686 Maringa PR 87015150 Brazil;Maringá;PR;87015150;-23.42393;-51.95473;-23.42393;-51.95473;Zona 5;;
