-23.012031,-43.299321,0.3
-22.956219,-43.19224,0.3
-22.955448,-43.180445,0.3
-18.902295,-48.266085,0.3
-25.420948,-49.248459,0.3
-23.01087,-43.44941,0.3
-24.953611,-53.420815,0.3
-26.966607,-48.639233,0.3
-21.805755,-43.375651,0.3
-19.959592,-43.963706,0.3
-28.677959,-49.365616,0.3
-19.753516,-47.915105,0.3
-15.869751,-47.930993,0.3
-23.290551,-51.219942,0.3
-21.807372,-43.376666,0.3
-28.267754,-52.437592,0.3
-15.836118,-47.9332,0.3
-26.96092,-48.640465,0.3
-27.096153,-52.619049,0.3
-23.424187,-51.899259,0.3
-31.761275,-52.318516,0.3
-30.04131,-51.173687,0.3
-27.595083,-48.572737,0.3
-19.960738,-43.957114,0.3
-21.777924,-43.346121,0.3
-25.430285,-49.323419,0.3
-26.323907,-48.868371,0.3
-29.710426,-51.146615,0.3
-30.066979,-51.212383,0.3
-16.698171,-49.231384,0.3
-26.935922,-49.067376,0.3
-29.152741,-51.157169,0.3
-23.424014,-51.954809,0.3
-23.423863,-51.954948,0.3
-23.000166,-43.331654,0.3
-18.926726,-48.259144,0.3
-22.793259,-43.366616,0.3
-16.725812,-43.880641,0.3
-22.28745,-43.914976,0.3
-22.956468,-43.191079,0.3
-30.000986,-51.308058,0.3
-26.867258,-49.103313,0.3
-19.965662,-43.961397,0.3
-30.011645,-51.147989,0.3
-15.804447,-47.96992,0.3
-27.59208,-48.574473,0.3
-28.269324,-52.440581,0.3
-25.453357,-49.262832,0.3
-22.794576,-43.366505,0.3
-23.548169,-51.450264,0.3
-26.912451,-49.051989,0.3
-24.966058,-53.481105,0.3
-15.870053,-47.962531,0.3
-23.001125,-43.415704,0.3
-25.447709,-49.265591,0.3
-27.577677,-48.592541,0.3
-30.003217,-51.186236,0.3
-23.422974,-51.911478,0.3
-26.921976,-49.063246,0.3
-29.428812,-52.015739,0.3
-30.058541,-51.216796,0.3
-29.168747,-51.214069,0.3
-29.144513,-51.227117,0.3
-28.271492,-52.38641,0.3
-28.214291,-52.357868,0.3
-27.177809,-49.593926,0.3
-26.868167,-49.105575,0.3
-25.385644,-51.514287,0.3
-25.439442,-49.301129,0.3
-31.742825,-52.382214,0.3
-31.68241,-52.344192,0.3
-27.57932,-48.588586,0.3
-26.996067,-48.645558,0.3
