linha;nome;motivo;endereco_original
546;FESTCINE POÇOS DE CALDAS (FESTIVAL NACIONAL DE CINEMA DE POÇOS DE CALDAS);so tem coordenada, sem endereco;(vazio)
1068;CINECOMPANY DIGITAL CINEMA;so tem coordenada, sem endereco;(vazio)
1575;CINEMA;endereco incompleto;SHC AOS 2/8 LOTE 5 253  DF  70660-090  BRASIL
2207;KINOPLEX CINEMA;endereco incompleto;AV ALMIRANTE SILVIO DE NORONHA 365 - CENTRO
