linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
1547;MSA EMPRESA CINEMATOGRÁFICA;;endereco;RIO PRETO SHOPPING CENTER - AV. BRG. FARIA LIMA, 6363 - BLOCO A - JARDIM MORUMBI, SÃO JOSÉ DO RIO PRETO - SP;RIO PRETO SHOPPING CENTER AV BRG FARIA LIMA 6363 Sao Jose do Rio Preto SP Brazil;São José do Rio Preto;SP;;-20.8351067;-49.398587;-20.835107;-49.398587;- BLOCO A - JARDIM MORUMBI;;
1548;ONDE A FELICIDADE FAZ MORADA;;endereco;TV. PROJETADA 2 - BROTAS DE MACAÚBAS, BA, 47560-000;Travessa PROJETADA 2 Brotas de Macaubas BA 47560000 Brazil;Brotas de Macaúbas;BA;47560000;-12.0048446;-42.6308237;-12.004845;-42.630824;;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
1549;SALADEARTE CINEMAM;;endereco;AVENIDA DO CONTORNO S/N - SOLAR DO UNHÃO  SALVADOR - BA  40301-155  BRASIL;AVENIDA DO CONTORNO SOLAR DO UNHAO Salvador BA 40301155 Brazil;Salvador;BA;40301155;-12.9751992;-38.5144741;-12.975199;-38.514474;;ALTO;sem numero de porta
1550;JOSUE'S CINE PIUMHI;;endereco;PRAÇA DR. AVELINO DE QUEIRÓZ, 251-321, PIUMHI - MG, 37925-000;PRACA DR AVELINO DE QUEIROZ 251 321 Piumhi MG 37925000 Brazil;Piumhi;MG;37925000;-20.4663743;-45.9593715;-20.466374;-45.959372;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
1551;GALERIA DISTRIBUIDORA;;endereco;R. ORÓS, 311 - SUMAREZINHO, SÃO PAULO - SP, 05442-020;Rua OROS 311 Sao Paulo SP 05442020 Brazil;São Paulo;SP;05442020;-23.5432028;-46.6963993;-23.543203;-46.696399;- SUMAREZINHO;;
1552;CINE AVATAR;;endereco;R JAMILE NAAMAN, 78 - JARDIM IRACEMA, TEÓFILO OTONI - MG, 39801-118;Rua JAMILE NAAMAN 78 Teofilo Otoni MG 39801118 Brazil;Teófilo Otoni;MG;39801118;-17.8528546;-41.5063716;-17.852855;-41.506372;- JARDIM IRACEMA;;
1553;SOM DE CINEMA;;endereco;R. ARABUTÃ, 800 - NAVEGANTES, PORTO ALEGRE - RS, 90240-470;Rua ARABUTA 800 Porto Alegre RS 90240470 Brazil;Porto Alegre;RS;90240470;-30.0047712;-51.1930527;-30.004771;-51.193053;- NAVEGANTES;;
1554;EMPRESA CINEMAS ARCO ÍRIS;;endereco;AV. RUI BARBOSA, 300 - CENTRO, ASSIS - SP;Avenida RUI BARBOSA 300 Assis SP Brazil;Assis;SP;;-22.6612025;-50.4173241;-22.661203;-50.417324;- CENTRO;;
1555;CINE MULTIPLEX;;endereco;AV. BRG. FARIA LIMA, 6363 - JARDIM MORUMBI, SÃO JOSÉ DO RIO PRETO - SP, 15090-500;Avenida BRG FARIA LIMA 6363 Sao Jose do Rio Preto SP 15090500 Brazil;São José do Rio Preto;SP;15090500;-20.8343303;-49.39782;-20.83433;-49.39782;- JARDIM MORUMBI;;
1556;CINEMA - CENTRO CULTURAL;;endereco;R. INÁCIO MONTEIRO, 6900 - JARDIM SÃO PAULO, SÃO PAULO - SP, 08474-480;Rua INACIO MONTEIRO 6900 Sao Paulo SP 08474480 Brazil;São Paulo;SP;08474480;-23.5803627;-46.3896072;-23.580363;-46.389607;- JARDIM SÃO PAULO;;
1557;KHALIF ADVICE;;endereco;R. GARÇAS D, 630 - EFAPI, CHAPECÓ - SC, 89809-621;Rua GARCAS D 630 Chapeco SC 89809621 Brazil;Chapecó;SC;89809621;-27.0956616;-52.6683687;-27.095662;-52.668369;- EFAPI;;
1558;MOVIECOM;;endereco;AV. RIO NEGRO, 1100 - JARDIM ROSELANDIA, FRANCA - SP, 14406-005;Avenida RIO NEGRO 1100 Franca SP 14406005 Brazil;Franca;SP;14406005;-20.5470791;-47.4178047;-20.547079;-47.417805;- JARDIM ROSELANDIA;;
1559;CINELÂNDIA;;endereco;AV. MEM DE SÁ, 117 - CENTRO, RIO DE JANEIRO - RJ, 20230-150;Avenida MEM DE SA 117 Rio de Janeiro RJ 20230150 Brazil;Rio de Janeiro;RJ;20230150;-22.9128676;-43.1838346;-22.912868;-43.183835;- CENTRO;;
1560;AURUM PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;;endereco;RECANDO VERDE-MAR - R. TRÊS, 90 - MASSAGUAÇU, CARAGUATATUBA - SP, 11677-233;RECANDO VERDE MAR R TRES 90 Caraguatatuba SP 11677233 Brazil;Caraguatatuba;SP;11677233;-23.5863673;-45.339381;-23.586367;-45.339381;- MASSAGUAÇU;;
1561;IGUAPE BEACH HOME L & A;;endereco;R. LAGOA, 29 - JACAÚNA, AQUIRAZ - CE, 61700-000;Rua LAGOA 29 Aquiraz CE 61700000 Brazil;Aquiraz;CE;61700000;-3.9443238;-38.2870906;-3.944324;-38.287091;- JACAÚNA;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
1562;TEHUÁ FILMES;;endereco;R. CAPOTE VALENTE, 432 - 94 - PINHEIROS, SÃO PAULO - SP, 05409-000;Rua CAPOTE VALENTE 432 Sao Paulo SP 05409000 Brazil;São Paulo;SP;05409000;-23.5576747;-46.6750769;-23.557675;-46.675077;- 94 - PINHEIROS;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
1563;DURSO FILMS;;endereco;1405, AV. PRESIDENTE ITAMAR FRANCO, 998 - SÃO MATEUS, JUIZ DE FORA - MG;1405 AV PRESIDENTE ITAMAR FRANCO 998 Juiz de Fora MG Brazil;Juiz de Fora;MG;;-21.7654442;-43.3478227;-21.765444;-43.347823;- SÃO MATEUS;;
1564;SALA DE CINEMA SESC;;endereco;AV. FRANCISCO DAS C. OLIVEIRA, 1333 - CHACARA MUN., SÃO JOSÉ DO RIO PRETO - SP, 15090-500;Avenida FRANCISCO DAS C OLIVEIRA 1333 Sao Jose do Rio Preto SP 15090500 Brazil;São José do Rio Preto;SP;15090500;-20.8337683;-49.3943918;-20.833768;-49.394392;- CHACARA MUN.;;
1565;FAICONTEC ESTÚDIOS;;endereco;R. MURTA DO CAMPO, 138 - PARQUE CAMPO BONITO, INDAIATUBA - SP, 13349-054;Rua MURTA DO CAMPO 138 Indaiatuba SP 13349054 Brazil;Indaiatuba;SP;13349054;-23.0988384;-47.2707717;-23.098838;-47.270772;- PARQUE CAMPO BONITO;;
1566;Orient Cinemas;;endereco;River Shopping - Av. Monsenhor Ângelo Sampaio, 100 - 66AB - Centro, Petrolina - PE, 56300-000;River Shopping Av Monsenhor Angelo Sampaio 100 Petrolina PE 56300000 Brazil;Petrolina;PE;56300000;-9.3936301;-40.4925262;-9.39363;-40.492526;- 66AB - Centro;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
1567;PORTA DOS ESSÉNIOS;;endereco;RES. JARDIM ANTONIETA, SÃO JOSÉ DO RIO PRETO - STATE OF SÃO PAULO, 15042-014;RES JARDIM ANTONIETA Sao Jose do Rio Preto SP 15042014 Brazil;São José do Rio Preto;SP;15042014;-20.7965157;-49.4309038;-20.796516;-49.430904;;ALTO;sem numero de porta
1568;ALICE . ELTON E JOÃO PEDRO;;endereco;R. EUNILDO STEVANATO, 296 - ZONA 8, CIANORTE - PR, 87200-000;Rua EUNILDO STEVANATO 296 Cianorte PR 87200000 Brazil;Cianorte;PR;87200000;-23.6848395;-52.6348522;-23.684839;-52.634852;- ZONA 8;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
1569;PALVES REALIZAÇÕES & PRODUÇÕES;;endereco;R. NITERÓI, 151 - SANTA EFIGÊNIA, BELO HORIZONTE - MG, 30240-400;Rua NITEROI 151 Belo Horizonte MG 30240400 Brazil;Belo Horizonte;MG;30240400;-19.9241781;-43.9149001;-19.924178;-43.9149;- SANTA EFIGÊNIA;;
1570;EQUINOX TV / MUNDO EQX - ESTRATÉGIA DE MARKETING E PRODUÇÃO DE VÍDEOS;;endereco;AV. ENGENHEIRO LUÍS CARLOS BERRINI, 1700 - 13 ANDAR - PINHEIROS, SÃO PAULO - SP, 05407-001;Avenida ENGENHEIRO LUIS CARLOS BERRINI 1700 Sao Paulo SP 05407001 Brazil;São Paulo;SP;05407001;-23.6031043;-46.6934841;-23.603104;-46.693484;- - PINHEIROS;;
1571;CINE MAJESTICK;;endereco;R. MAJOR FACUNDO, 866 - CENTRO, FORTALEZA - CE, 60025-100;Rua MAJOR FACUNDO 866 Fortaleza CE 60025100 Brazil;Fortaleza;CE;60025100;-3.7305663;-38.5289116;-3.730566;-38.528912;- CENTRO;;
1572;APPS ONE;;endereco;R. IGNÁCIO SYLVIO VOLKWEIS - TRIUNFO, RS, 95840-000;Rua IGNACIO SYLVIO VOLKWEIS Triunfo RS 95840000 Brazil;Triunfo;RS;95840000;-29.9175932;-51.6936555;-29.917593;-51.693655;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
1573;PIZZARIA DELIVERY;;endereco;R. SÃO GERALDO - PEDREGAL, TAUÁ - CE, 63660-000;Rua SAO GERALDO PEDREGAL Taua CE 63660000 Brazil;Tauá;CE;63660000;-6.0111034;-40.2881331;-6.011103;-40.288133;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
1574;CINE ARENA;;endereco;R. MAJOR FACUNDO, 1193 - CENTRO, FORTALEZA - CE, 60025-101;Rua MAJOR FACUNDO 1193 Fortaleza CE 60025101 Brazil;Fortaleza;CE;60025101;-3.733408;-38.5296404;-3.733408;-38.52964;- CENTRO;;
