severidade;linha;nome;endereco_dsp;risco
ALTO;2294;103772-09-EL CINEMA;Boulevard Shopping Belo Horizonte Belo Horizonte MG 30260070 Brazil;sem numero de porta
ALTO;2295;CS BANNER CINEMA;CONTINENTE Sao Jose SC 88119290 Brazil;"sem numero de porta; logradouro sem nome"
ALTO;2296;NR BANNER CORREDOR CINEMA;NORTE Blumenau SC 89065800 Brazil;"sem numero de porta; logradouro sem nome"
ALTO;2297;NS BANNER HORIZONTAL CINEMA;NACOES Icara SC 88813390 Brazil;"sem numero de porta; logradouro sem nome"
ALTO;2308;CENTRO CULTURAL UNIMED-BH MINAS;Rua DA BAHIA 2 244 LOURDES Belo Horizonte MG 30160012 Brazil;sem numero de porta
ALTO;2316;PALCO FLUTUANTE;LAGO IGAPO Londrina PR Brazil;sem numero de porta
ALTO;2318;PLAY TIME;RUA DR IRINEU CENTRO Balsas MA 65800000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2320;Cine Araújo - Multiplex ViaVerde Shopping;ViaVerde Shopping Rodovia BR 364 1707 Rio Branco AC 69914020 Brazil;endereco de rodovia (57-67% falharam)
ALTO;2324;Cinesystem Cinemas;Rodovia BR010 no 100 Imperatriz MA 65913015 Brazil;endereco de rodovia (57-67% falharam)
ALTO;2326;Aurum Cinema;Avenida Dep Jamel Cecilio Goiania GO 74891135 Brazil;sem numero de porta
ALTO;2327;Cineflix Buriti Shopping Rio Verde;BR 060 1044 Parque Bougainville Rio Verde GO 75907580 Brazil;sem numero de porta
ALTO;2329;Moviemax Cine Royal;Avenida Dr Luiz Correia de Araujo Centro Sao Lourenco da Mata PE 54735110 Brazil;sem numero de porta
ALTO;2333;Cine Luz Luziania;Luziania Shopping R Ophir Jose Braz Centro Luziania GO 72800150 Brazil;sem numero de porta
ALTO;2337;Pupila Film Festival;Rua Antonio Silva Guimaraes Casa Caiada Olinda PE 53130360 Brazil;sem numero de porta
ALTO;2340;Filmoteca Acreana;Centro Rio Branco AC 69914220 Brazil;"sem numero de porta; logradouro sem nome"
ALTO;2341;CinePilarense;Praca Rui Barbosa Pilar AL 57150000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2343;Cine Teatro Apolo;Rua da Conceicao Sao Sebastiao Palmares PE 55540000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2347;Cine Teatro Guarany;Avenida Sete de Setembro Centro Manaus AM 69010005 Brazil;sem numero de porta
ALTO;2348;Cine Brasília;SHCS EQS 106 107 Plano Piloto Brasilia DF 70345400 Brazil;sem numero de porta
ALTO;2352;Arcoplex Cinema;Avenida das Araucarias 1835 2005 Aguas Claras Brasilia DF 71936250 Brazil;sem numero de porta
ALTO;2356;Cinema SESC Deodoro;Avenida Gomes de Castro Centro Sao Luis MA 65020570 Brazil;sem numero de porta
ALTO;2358;Smart City Laguna;CE 341 Croata Sao Goncalo do Amarante CE 60125071 Brazil;sem numero de porta
ALTO;2360;Cine Ritz Perim Center;Avenida Jones dos Santos Neves 1372 144 Caicara Cachoeiro de Itapemirim ES 29310346 Brazil;sem numero de porta
ALTO;2363;Cine Ritz São Mateus;Avenida Jose Tozzi 1831 Shopping Centro Sao Mateus ES 29930000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2369;Cinemas Lumière;Avenida Anhanguera 114 404 Capuava Goiania GO 74450010 Brazil;sem numero de porta
ALTO;2381;Patos Multiplex;Rua Horacio Nobrega Belo Horizonte Patos PB 58704000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2383;CINE VIEIRA.;Rua Pedro Eulampio da Silva Sao Bento PB 58865000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2391;Cine Floresta (Guarantã);Avenida Pioneiro Jose Nelson Coutinho 2738 2804 Cristo Rei Guaranta do Norte MT 78520000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2392;Cinema do Rondon Plaza Shopping;Avenida Gov Julio Jose de Campos Res Sagrada Familia Rondonopolis MT 78735330 Brazil;sem numero de porta
ALTO;2399;Cine Movieplex;Avenida Senador Helvidio Nunes 14012 14134 Jardim Natal Picos PI 14012141 Brazil;sem numero de porta
ALTO;2401;Cine Panorama;Rua Sao Joao de Deus Rocas Natal RN 59010600 Brazil;sem numero de porta
ALTO;2404;Antigo cinema;Rua Fernando Augusto Pinto Ribeiro Joaquim Nabuco PE 55535000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2417;Moviecom Cinemas;BR 316 Castanheira Belem PA 66645003 Brazil;sem numero de porta
ALTO;2422;Cinesercla;Avenida Melicio Machado Aruana Aracaju SE 49038445 Brazil;sem numero de porta
ALTO;2427;Cine Cultura - Cinema;Quadra 302 Sul Area Verde Plano Diretor Sul Palmas TO 77016524 Brazil;sem numero de porta
ALTO;2429;Mobi Cine - Araguaína;Avenida Marginal Neblina Lot Alaska Araguaina TO 77817805 Brazil;sem numero de porta
ALTO;2431;Teatro de Arena Ocupação Cultural;Rua Maj Ladislau Ferreira Jardim Nazle Rio Branco AC Brazil;sem numero de porta
ALTO;2433;Fórum Audiovisual Acre;Rua dos Engenheiros Conj Paulo C de Oliveira Rio Branco AC 69919053 Brazil;sem numero de porta
ALTO;2437;Local da Paixão de Cristo Totus Tuus;Clima Bom Maceio AL 57063505 Brazil;sem numero de porta
ALTO;2449;Cine Gracher Havan Joaçaba;Loja HAVAN Joacaba SC 89600000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2450;Arcoplex;Rodovia Paul Fritz Kuehnrich 1600 Blumenau SC 89052381 Brazil;endereco de rodovia (57-67% falharam)
ALTO;2459;Ybá Pitanga Cineclube;Cine Teatro Praca Joao Thiago dos Santos Centro Lauro de Freitas BA 42700000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2461;Espaço Arthur 3.0 De Cinema e Teatro Do Laboratório de Poções Mágicas;Rua do Cate Lago Azul Manaus AM Brazil;sem numero de porta
ALTO;2463;Topfilmes2025;Avenida Parintins Cachoeirinha Manaus AM 69065050 Brazil;sem numero de porta
ALTO;2465;César Produções AM;Rua Amazonas Compensa Manaus AM 69035510 Brazil;sem numero de porta
ALTO;2466;Eric;Rua Cananore Chapada Manaus AM 69050049 Brazil;sem numero de porta
ALTO;2467;Cinesercla Manaus;Distrito Industrial II Manaus AM Brazil;sem numero de porta
ALTO;2470;Cafe e Misterios;Res Ozias Monteiro I Cidade Nova Manaus AM 69090000 Brazil;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
ALTO;2472;Cine Clube Cine Auditório;Avenida Rio Branco Centro Jequie BA 45200418 Brazil;sem numero de porta
ALTO;2474;Cine vip Brasilia;CONIC SDS VENANCIO IV BLOCO Q Asa Sul Brasilia DF 70393903 Brazil;sem numero de porta
ALTO;2477;Mulher de Sono;RP8M 3X Taquara I Serra ES 29167113 Brazil;sem numero de porta
ALTO;2478;Tela Plus;Rua Sandro Botecelli Parque Res Laranjeiras Serra ES 29165540 Brazil;sem numero de porta
ALTO;2480;Cinemais;Santa Ines Vila Velha ES 29106730 Brazil;sem numero de porta
ALTO;2483;CinePrime Cinema Anashopping;Res Araujoville Anapolis GO Brazil;sem numero de porta
ALTO;2490;Moviecom Cinemas | Super Mall Trindade;Jardim Decolores Trindade GO Brazil;sem numero de porta
ALTO;2491;Trekking Cerrado;Bloco Cora Coralina Cafe das Letras R Samambaia Chacaras California Goiania GO 74001970 Brazil;sem numero de porta
ALTO;2492;Cinemais;6JHX H2 St Andreia Goiania Goias Brazil;sem numero de porta
ALTO;2495;Mobi Cine - Escritório;Rua Seis Parque Atheneu Goiania GO Brazil;sem numero de porta
ALTO;2497;Sal Marinho Filmes 2;Jardim Bela Vista Goiania GO 74000070 Brazil;sem numero de porta
